trip_id,route_id,service_id,block_id,shape_id
3021,18,4,3701,15
126,40,2,9201,2
1175,57,2,401,0
1462,45,1,2501,27
3104,96,4,7101,17
3042,18,4,3701,15
748,72,1,5752,78
35,84,1,702,53
1763,95,1,3802,10
2631,86,4,201,28
2192,96,2,7101,17
877,54,1,6501,24
2438,57,4,404,16
2405,57,4,407,16
2001,96,1,7103,17
2749,59,4,3001,68
1926,18,3,3703,15
936,67,1,6402,64
1317,57,3,403,16
559,88,1,7801,8
2461,57,4,404,16
1896,18,2,3705,9
1296,57,3,406,0
375,49,1,7201,37
869,54,1,6501,24
2271,18,1,3801,15
1502,89,2,1901,23
1770,96,3,7102,13
2644,82,4,301,74
2460,57,4,401,16
2089,81,1,9002,12
563,88,2,7801,20
519,39,1,8003,1
2116,81,1,554,57
2393,57,4,401,0
3120,96,4,7101,13
2770,59,4,3003,18
3015,18,4,3701,66
1393,82,2,301,21
398,54,1,6501,30
1079,57,1,401,16
2655,82,4,301,21
1125,75,2,901,50
1758,95,1,3804,10
785,46,2,3202,5
1558,40,1,9201,31
2959,81,4,501,48
2249,96,2,7102,13
539,88,1,7801,20
3010,85,4,9952,61
2035,96,1,7103,13
3232,95,4,3801,10
753,46,2,3201,6
2387,57,4,404,0
1817,96,3,7101,17
2918,54,4,6501,24
715,57,1,402,16
2975,81,4,503,12
1446,45,2,2501,47
2114,81,1,501,57
1857,18,2,3701,15
2113,81,1,501,48
248,57,1,407,0
2863,39,4,8001,1
1592,40,3,9201,31
424,49,2,7201,37
2232,96,2,7101,13
2120,81,1,552,48
3176,67,4,6402,64
186,84,1,702,55
2299,89,1,1901,23
1097,57,1,405,16
3238,57,2,405,16
889,54,1,6501,24
2890,39,4,8002,35
2239,96,2,7103,13
1497,45,1,2503,47
628,39,2,8002,35
2206,96,2,7102,17
1149,45,1,2501,47
199,84,1,702,55
1315,57,3,402,16
2842,88,4,7801,20
659,39,3,8001,35
1479,45,1,2503,47
3134,96,4,7102,13
2010,96,1,7103,17
881,54,1,6501,30
1705,18,1,3804,9
3044,18,4,3702,15
1379,82,1,302,21
309,46,1,3202,5
2555,18,4,3701,9
1401,82,2,302,29
1227,57,2,401,16
2513,75,4,901,50
1396,82,2,301,21
299,46,1,3201,5
2375,57,4,403,0
1496,45,1,2502,47
1486,45,1,2501,47
3142,96,4,7103,13
1814,96,3,7102,17
3084,96,4,7103,17
481,39,1,8001,35
1910,18,2,3702,9
846,59,1,3004,19
2542,18,4,3703,9
577,88,2,7801,8
1984,96,1,7102,17
1684,18,1,3701,15
658,39,2,8002,1
1795,96,3,7101,13
1236,57,2,404,16
73,59,2,3004,18
1251,57,2,403,0
749,72,1,5751,77
1043,57,1,406,0
457,54,1,6501,24
3239,57,2,406,16
36,84,1,701,53
2204,96,2,7101,17
1389,82,2,301,21
1453,45,2,2502,47
1059,57,1,406,0
516,39,1,8003,1
1089,57,1,405,16
1322,57,3,406,16
426,49,2,7201,37
477,39,1,8002,35
3041,18,4,3702,15
1753,95,1,3701,10
3206,95,4,3801,26
1360,82,1,301,29
306,46,1,3202,5
1345,57,2,404,16
1384,82,1,302,21
2223,96,2,7101,13
2412,57,4,407,16
281,46,1,3203,6
1008,86,1,201,28
3043,18,4,3703,15
2181,96,2,7103,17
2798,46,4,3202,5
1105,86,2,201,28
2153,85,1,9903,11
859,67,1,6456,75
664,39,3,8002,35
991,86,1,201,36
1777,96,3,7101,13
1292,57,3,403,0
1863,18,2,3703,15
1150,83,1,4452,52
46,84,2,701,53
941,67,1,6405,64
3129,96,4,7101,13
2131,80,1,3401,70
355,49,1,7201,3
744,72,1,5701,77
1512,89,2,1901,23
235,57,1,403,0
1019,47,1,3901,44
200,84,1,701,55
2391,57,4,402,0
610,46,3,3202,6
1394,82,2,301,21
2966,81,4,551,48
2987,81,4,502,57
2807,46,4,3202,5
2724,45,4,2502,27
1913,18,3,3701,15
10,40,3,9201,2
850,56,1,7751,73
1211,57,2,403,16
2850,88,4,7801,8
3217,95,4,3702,10
1402,82,2,302,29
794,59,1,3003,18
3228,95,4,3802,10
725,57,1,403,16
2118,81,1,551,48
1437,45,2,2502,27
176,54,2,6501,30
545,88,1,7801,20
1735,95,1,3802,26
330,40,1,9201,2
1883,18,2,3702,9
1253,57,3,402,0
2845,88,4,7801,20
1531,89,2,1901,22
2594,40,4,9202,2
495,39,1,8002,35
2717,45,4,2501,27
826,59,1,3004,19
2591,40,4,9202,2
1036,82,3,301,74
1060,57,1,401,0
760,46,2,3202,6
2548,18,4,3701,9
113,59,3,3001,19
3035,18,4,3803,15
