route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
Rt30,CTS,30,101 Commuter,Runs between Port Angeles and Sequim,3,http://clallamtransit.com/route-30-timetable.html,FFFF66,000000
Rt52,CTS,52,Diamond Point,,3,http://clallamtransit.com/route-52-timetable.html,CC66CC,FFFFFF
Rt40,CTS,40,Sequim Shuttle,In-town shuttle,3,http://clallamtransit.com/route-40-timetable.html,33FFFF,000000
Rt20,CTS,20,College Plaza,,3,http://clallamtransit.com/route-20-timetable.html,33CCFF,FFFFFF
Rt22,CTS,22,Lincoln Peabody,,3,http://clallamtransit.com/route-22-timetable.html,FFCC33,000000
Rt24,CTS,24,Cherry Hill,,3,http://clallamtransit.com/route-24-timetable.html,33CC66,FFFFFF
Rt26,CTS,26,Westside,Can deviate to Kenmore Airport upon request,3,http://clallamtransit.com/route-26-timetable.html,FF9900,FFFFFF
Rt10,CTS,10,Joyce,,3,http://clallamtransit.com/route-10-timetable.html,FFCCFF,000000
Rt14,CTS,14,Forks,Runs between Port Angeles and Forks,3,http://clallamtransit.com/route-14-timetable.html,FF6699,FFFFFF
Rt17,CTS,17,Forks Shuttle,In-town shuttle,3,http://clallamtransit.com/route-17-timetable.html,99CCFF,000000
Rt16,CTS,16,Clallam Bay,,3,http://clallamtransit.com/route-16-timetable.html,FF9999,000000
Rt15,CTS,15,La Push,,3,http://clallamtransit.com/route-15-timetable.html,CCCCCC,000000
Rt50,CTS,50,Jamestown Campus,,3,http://clallamtransit.com/route-50-timetable.html,33FF00,FFFFFF
