trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
30E_T01,06:00:00,06:00:00,111_A,1,Sequim,,,0
30E_T01,,,30E_1,2,Sequim,,,0.686
30E_T01,,,30E_2,3,Sequim,,,0.909
30E_T01,,,30E_3,4,Sequim,,,1.33
30E_T01,,,30E_4,5,Sequim,,,1.635
30E_T01,,,30E_5,6,Sequim,,,2.171
30E_T01,,,30E_6,7,Sequim,,,2.489
30E_T01,,,30E_7,8,Sequim,,,2.791
30E_T01,,,30E_8,9,Sequim,,,3.203
30E_T01,06:07:00,06:07:00,30E_9,10,Sequim,,,3.726
30E_T01,,,30E_10,11,Sequim,,,4.624
30E_T01,,,30E_11,12,Sequim,,,5.722
30E_T01,,,30E_12,13,Sequim,,,6.131
30E_T01,06:11:00,06:11:00,30E_13,14,Sequim,,,6.473
30E_T01,,,30E_14,15,Sequim,,,8.571
30E_T01,,,30E_15,16,Sequim,,,10.071
30E_T01,,,30E_16,17,Sequim,,,10.479
30E_T01,06:15:00,06:15:00,30E_17,18,Sequim,,,12.16
30E_T01,,,30E_18,19,Sequim,,,12.953
30E_T01,,,30E_19,20,Sequim,,,14.242
30E_T01,,,30E_20,21,Sequim,,,16.876
30E_T01,,,30E_21,22,Sequim,,,17.179
30E_T01,06:20:00,06:20:00,30E_22,23,Sequim,,,18.57
30E_T01,,,30E_23,24,Sequim,,,19.799
30E_T01,,,30E_24,25,Sequim,,,21.036
30E_T01,06:23:00,06:23:00,30E_25,26,Sequim,,,21.93
30E_T01,,,30E_26,27,Sequim,,,22.363
30E_T01,,,30E_27,28,Sequim,,,23.172
30E_T01,,,30E_28,29,Sequim,,,25.03
30E_T01,,,30E_29,30,Sequim,,,25.482
30E_T01,,,30E_30,31,Sequim,,,25.696
30E_T01,,,30E_31,32,Sequim,,,26.331
30E_T01,06:28:00,06:28:00,30E_32,33,Sequim,,,26.554
30E_T01,,,30E_33,34,Sequim,,,26.913
30E_T01,,,30E_34,35,Sequim,,,27.102
30E_T01,06:35:00,06:35:00,333,36,Sequim,,,27.987
30E_T02,07:00:00,07:00:00,111_A,1,Sequim,,,0
30E_T02,,,30E_1,2,Sequim,,,0.686
30E_T02,,,30E_2,3,Sequim,,,0.909
30E_T02,,,30E_3,4,Sequim,,,1.33
30E_T02,,,30E_4,5,Sequim,,,1.635
30E_T02,,,30E_5,6,Sequim,,,2.171
30E_T02,,,30E_6,7,Sequim,,,2.489
30E_T02,,,30E_7,8,Sequim,,,2.791
30E_T02,,,30E_8,9,Sequim,,,3.203
30E_T02,07:07:00,07:07:00,30E_9,10,Sequim,,,3.726
30E_T02,,,30E_10,11,Sequim,,,4.624
30E_T02,,,30E_11,12,Sequim,,,5.722
30E_T02,,,30E_12,13,Sequim,,,6.131
30E_T02,07:11:00,07:11:00,30E_13,14,Sequim,,,6.473
30E_T02,,,30E_14,15,Sequim,,,8.571
30E_T02,,,30E_15,16,Sequim,,,10.071
30E_T02,,,30E_16,17,Sequim,,,10.479
30E_T02,07:15:00,07:15:00,30E_17,18,Sequim,,,12.16
30E_T02,,,30E_18,19,Sequim,,,12.953
30E_T02,,,30E_19,20,Sequim,,,14.242
30E_T02,,,30E_20,21,Sequim,,,16.876
30E_T02,,,30E_21,22,Sequim,,,17.179
30E_T02,07:20:00,07:20:00,30E_22,23,Sequim,,,18.57
30E_T02,,,30E_23,24,Sequim,,,19.799
30E_T02,,,30E_24,25,Sequim,,,21.036
30E_T02,07:23:00,07:23:00,30E_25,26,Sequim,,,21.93
30E_T02,,,30E_26,27,Sequim,,,22.363
30E_T02,,,30E_27,28,Sequim,,,23.172
30E_T02,,,30E_28,29,Sequim,,,25.03
30E_T02,,,30E_29,30,Sequim,,,25.482
30E_T02,,,30E_30,31,Sequim,,,25.696
30E_T02,,,30E_31,32,Sequim,,,26.331
30E_T02,07:28:00,07:28:00,30E_32,33,Sequim,,,26.554
30E_T02,,,30E_33,34,Sequim,,,26.913
30E_T02,,,30E_34,35,Sequim,,,27.102
30E_T02,07:35:00,07:35:00,333,36,Sequim,,,27.987
30E_T03,07:30:00,07:30:00,111_A,1,Sequim,,,0
30E_T03,,,30E_1,2,Sequim,,,0.686
30E_T03,,,30E_2,3,Sequim,,,0.909
30E_T03,,,30E_3,4,Sequim,,,1.33
30E_T03,,,30E_4,5,Sequim,,,1.635
30E_T03,,,30E_5,6,Sequim,,,2.171
30E_T03,,,30E_6,7,Sequim,,,2.489
30E_T03,,,30E_7,8,Sequim,,,2.791
30E_T03,,,30E_8,9,Sequim,,,3.203
30E_T03,07:37:00,07:37:00,30E_9,10,Sequim,,,3.726
30E_T03,,,30E_10,11,Sequim,,,4.624
30E_T03,,,30E_11,12,Sequim,,,5.722
30E_T03,,,30E_12,13,Sequim,,,6.131
30E_T03,07:41:00,07:41:00,30E_13,14,Sequim,,,6.473
30E_T03,,,30E_14,15,Sequim,,,8.571
30E_T03,,,30E_15,16,Sequim,,,10.071
30E_T03,,,30E_16,17,Sequim,,,10.479
30E_T03,07:45:00,07:45:00,30E_17,18,Sequim,,,12.16
30E_T03,,,30E_18,19,Sequim,,,12.953
30E_T03,,,30E_19,20,Sequim,,,14.242
30E_T03,,,30E_20,21,Sequim,,,16.876
30E_T03,,,30E_21,22,Sequim,,,17.179
30E_T03,07:50:00,07:50:00,30E_22,23,Sequim,,,18.57
30E_T03,,,30E_23,24,Sequim,,,19.799
30E_T03,,,30E_24,25,Sequim,,,21.036
30E_T03,07:53:00,07:53:00,30E_25,26,Sequim,,,21.93
30E_T03,,,30E_26,27,Sequim,,,22.363
30E_T03,,,30E_27,28,Sequim,,,23.172
30E_T03,,,30E_28,29,Sequim,,,25.03
30E_T03,,,30E_29,30,Sequim,,,25.482
30E_T03,,,30E_30,31,Sequim,,,25.696
30E_T03,,,30E_31,32,Sequim,,,26.331
30E_T03,07:58:00,07:58:00,30E_32,33,Sequim,,,26.554
30E_T03,,,30E_33,34,Sequim,,,26.913
30E_T03,,,30E_34,35,Sequim,,,27.102
30E_T03,08:05:00,08:05:00,333,36,Sequim,,,27.987
30E_T04,08:00:00,08:00:00,111_A,1,Sequim,,,0
30E_T04,,,30E_1,2,Sequim,,,0.686
