shape_id,shape_pt_sequence,shape_pt_lat,shape_pt_lon,shape_dist_traveled
RT12CW01,1,47.907703,-122.213547,0.0
RT12CW01,2,47.911255,-122.217476,0.492
RT12CW01,3,47.910355,-122.220833,0.761
RT12CW01,4,47.909477,-122.224091,1.023
RT12CW01,5,47.908173,-122.229050,1.42
RT12CW01,6,47.907383,-122.232086,1.663
RT12CW01,7,47.906582,-122.235001,1.897
RT12CW01,8,47.905804,-122.237938,2.133
RT12CW01,9,47.904903,-122.243767,2.579
RT12CW01,10,47.907379,-122.243103,2.859
RT12CW01,11,47.907379,-122.247772,3.207
RT12CW01,12,47.907379,-122.250320,3.396
RT12CW01,13,47.907433,-122.254463,3.705
RT12CW01,14,47.907475,-122.257668,3.944
RT12CW01,15,47.907562,-122.266144,4.576
RT12CW01,16,47.907578,-122.269051,4.793
RT12CW01,17,47.913815,-122.271484,5.51
RT12CW01,18,47.917892,-122.271492,5.963
RT12CW01,19,47.920021,-122.269264,6.252
RT12CW01,20,47.919971,-122.264893,6.578
RT12CW01,21,47.921185,-122.262634,6.794
RT12CW01,22,47.921799,-122.257439,7.187
RT12CW01,23,47.921753,-122.252716,7.539
RT12CW01,24,47.921722,-122.250572,7.699
RT12CW01,25,47.921734,-122.247215,7.949
RT12CW01,26,47.921757,-122.243141,8.252
RT12CW01,27,47.921753,-122.241058,8.408
RT12CW01,28,47.921810,-122.238983,8.562
RT12CW01,29,47.921776,-122.236473,8.749
RT12CW01,30,47.921848,-122.230515,9.193
RT12CW01,31,47.921860,-122.226685,9.479
RT12CW01,32,47.921455,-122.223000,9.757
RT12CW01,33,47.918819,-122.222954,10.05
RT12CW01,34,47.916317,-122.223541,10.332
RT12CW01,35,47.914772,-122.223488,10.504
RT12CW01,36,47.912720,-122.223442,10.732
RT12CW01,37,47.910603,-122.223427,10.967
RT12CW01,38,47.909824,-122.221939,11.108
RT12CW01,39,47.910736,-122.218552,11.38
RT12CW01,40,47.907787,-122.216728,11.735
