trip_id,stop_id,arrival_time,departure_time,stop_sequence,stop_headsign
RT12SACW01_T01,6394,09:00:00,09:00:00,1,
RT12SACW01_T01,6105,,,2,
RT12SACW01_T01,6095,,,3,
RT12SACW01_T01,6080,,,4,
RT12SACW01_T01,6230,,,5,
RT12SACW01_T01,6235,,,6,
RT12SACW01_T01,6240,,,7,
RT12SACW01_T01,6244,,,8,
RT12SACW01_T01,6265,,,9,
RT12SACW01_T01,5215,,,10,
RT12SACW01_T01,5220,,,11,
RT12SACW01_T01,5225,,,12,
RT12SACW01_T01,5230,,,13,
RT12SACW01_T01,5235,,,14,
RT12SACW01_T01,5240,,,15,
RT12SACW01_T01,5245,09:10:00,09:10:00,16,
RT12SACW01_T01,5011,,,17,
RT12SACW01_T01,5007,,,18,
RT12SACW01_T01,5005,09:12:00,09:12:00,19,
RT12SACW01_T01,5020,,,20,
RT12SACW01_T01,5030,,,21,
RT12SACW01_T01,5040,,,22,
RT12SACW01_T01,5045,,,23,
RT12SACW01_T01,5055,,,24,
RT12SACW01_T01,5065,,,25,
RT12SACW01_T01,5075,,,26,
RT12SACW01_T01,5087,,,27,
RT12SACW01_T01,5090,,,28,
RT12SACW01_T01,5100,,,29,
RT12SACW01_T01,5115,09:17:00,09:17:00,30,
RT12SACW01_T01,5132,,,31,
RT12SACW01_T01,6000,,,32,
RT12SACW01_T01,6035,,,33,
RT12SACW01_T01,6045,,,34,
RT12SACW01_T01,6060,,,35,
RT12SACW01_T01,6070,,,36,
RT12SACW01_T01,6075,,,37,
RT12SACW01_T01,6090,,,38,
RT12SACW01_T01,6100,,,39,
RT12SACW01_T01,6397,,,40,
RT12SACW01_T01,6394,09:29:00,09:29:00,41,
RT12SACW01_T02,6394,10:00:00,10:00:00,1,
RT12SACW01_T02,6105,,,2,
RT12SACW01_T02,6095,,,3,
RT12SACW01_T02,6080,,,4,
RT12SACW01_T02,6230,,,5,
RT12SACW01_T02,6235,,,6,
RT12SACW01_T02,6240,,,7,
RT12SACW01_T02,6244,,,8,
RT12SACW01_T02,6265,,,9,
RT12SACW01_T02,5215,,,10,
RT12SACW01_T02,5220,,,11,
RT12SACW01_T02,5225,,,12,
RT12SACW01_T02,5230,,,13,
RT12SACW01_T02,5235,,,14,
RT12SACW01_T02,5240,,,15,
RT12SACW01_T02,5245,10:10:00,10:10:00,16,
RT12SACW01_T02,5011,,,17,
RT12SACW01_T02,5007,,,18,
RT12SACW01_T02,5005,10:12:00,10:12:00,19,
RT12SACW01_T02,5020,,,20,
RT12SACW01_T02,5030,,,21,
RT12SACW01_T02,5040,,,22,
RT12SACW01_T02,5045,,,23,
RT12SACW01_T02,5055,,,24,
RT12SACW01_T02,5065,,,25,
RT12SACW01_T02,5075,,,26,
RT12SACW01_T02,5087,,,27,
RT12SACW01_T02,5090,,,28,
RT12SACW01_T02,5100,,,29,
RT12SACW01_T02,5115,10:17:00,10:17:00,30,
RT12SACW01_T02,5132,,,31,
RT12SACW01_T02,6000,,,32,
RT12SACW01_T02,6035,,,33,
RT12SACW01_T02,6045,,,34,
RT12SACW01_T02,6060,,,35,
RT12SACW01_T02,6070,,,36,
RT12SACW01_T02,6075,,,37,
RT12SACW01_T02,6090,,,38,
RT12SACW01_T02,6100,,,39,
RT12SACW01_T02,6397,,,40,
RT12SACW01_T02,6394,10:29:00,10:29:00,41,
RT12SACW01_T03,6394,11:15:00,11:15:00,1,
RT12SACW01_T03,6105,,,2,
RT12SACW01_T03,6095,,,3,
RT12SACW01_T03,6080,,,4,
RT12SACW01_T03,6230,,,5,
RT12SACW01_T03,6235,,,6,
RT12SACW01_T03,6240,,,7,
RT12SACW01_T03,6244,,,8,
RT12SACW01_T03,6265,,,9,
RT12SACW01_T03,5215,,,10,
RT12SACW01_T03,5220,,,11,
RT12SACW01_T03,5225,,,12,
RT12SACW01_T03,5230,,,13,
RT12SACW01_T03,5235,,,14,
RT12SACW01_T03,5240,,,15,
RT12SACW01_T03,5245,11:25:00,11:25:00,16,
RT12SACW01_T03,5011,,,17,
RT12SACW01_T03,5007,,,18,
RT12SACW01_T03,5005,11:27:00,11:27:00,19,
RT12SACW01_T03,5020,,,20,
RT12SACW01_T03,5030,,,21,
RT12SACW01_T03,5040,,,22,
RT12SACW01_T03,5045,,,23,
RT12SACW01_T03,5055,,,24,
RT12SACW01_T03,5065,,,25,
