stop_id,stop_name,stop_lat,stop_lon,stop_code
0167,127th ST SW and 8TH AVE W,47.881763,-122.243645,0167
0168,AIRPORT RD and E GIBSON RD,47.881763,-122.249687,0168
0426,HEWITT AVE and OAKES AVE,47.979126,-122.203865,0426
0827,BROADWAY and 13TH ST,48.000496,-122.200874,0827
0877,EVERGREEN WAY and 79TH PL SE,47.926079,-122.223915,0877
0963,SR 525 and 80TH ST SW,47.926064,-122.300179,0963
0964,SR 525 and 84TH ST SW,47.922871,-122.300064,0964
0967,SR 525 and CLOVER LANE,47.933525,-122.306290,0967
0968,SR 525 and GOAT TRAIL RD,47.939983,-122.305702,0968
0972,SR 525 and 15TH PL,47.937508,-122.305977,0972
0973,SR 525 and 76TH ST SW,47.928989,-122.301102,0973
1010,W MARINE VIEW DRIVE and SKYLINE DR,48.014301,-122.194252,1010
1011,W MARINE VIEW DRIVE and SKYLINE DR,48.014137,-122.193657,1011
1035,N BROADWAY and 8TH ST,48.007664,-122.195229,1035
1051,COLLEGE STATION - BAY A,48.005661,-122.200317,1051
1052,COLLEGE STATION - BAY B,48.005501,-122.200317,1052
1053,COLLEGE STATION - BAY C,48.005245,-122.200294,1053
1054,COLLEGE STATION - BAY D,48.005325,-122.200485,1054
1055,COLLEGE STATION - BAY E,48.005596,-122.200478,1055
1056,COLLEGE STATION - BAY F,48.005760,-122.200478,1056
1057,BROADWAY and TOWER ST,48.005257,-122.200859,1057
1058,BROADWAY and TOWER,48.005573,-122.201004,1058
1060,N BROADWAY and 10TH ST,48.003860,-122.200111,1060
1075,ALVERSON BLVD and 2ND ST,48.015347,-122.204849,1075
1076,ALVERSON BLVD and 2ND ST,48.015537,-122.204964,1076
1080,ALVERSON BLVD and 4TH ST,48.012383,-122.205818,1080
1082,WETMORE AVE and ALVERSON BLVD,48.011627,-122.206444,1082
1084,WETMORE AVE and 6TH ST,48.009262,-122.206535,1084
1085,WETMORE AVE and 6TH ST,48.010082,-122.206345,1085
1090,WETMORE AVE and 8TH ST,48.006977,-122.206429,1090
1092,WETMORE AVE and 8TH ST,48.006676,-122.206612,1092
1093,COLBY AVE and 10TH ST,48.004486,-122.207848,1093
1113,COLBY AVE and 10TH ST,48.004070,-122.208115,1113
1120,Port Gardner Way and W Marine View Dr,48.000328,-122.214844,1120
1123,W MARINE VIEW DR and 14TH ST,47.999268,-122.214035,1123
1125,W MARINE VIEW DR and 16TH ST,47.996670,-122.213623,1125
1140,COLBY AVE and 13TH ST,48.000526,-122.207932,1140
1145,COLBY AVE and 13TH ST,48.000465,-122.208229,1145
