trip_id,route_id,service_id,trip_headsign,block_id,shape_id
1549,2,2,Inbound,6402,42
1045,14,2,Inbound,4404,75
1885,14,1,Outbound,4405,54
1272,35,2,Outbound,1011,20
935,10,1,Inbound,6812,7
1914,15,1,Inbound,6402,58
1405,1,1,Outbound,1212,35
1720,9,1,Outbound,1201,18
1882,13,3,Inbound,4401,22
2231,35,1,Outbound,1012,5
1312,35,2,Inbound,1012,77
725,33,3,Inbound,6602,81
1307,35,2,Inbound,1011,77
1787,10,3,Inbound,6001,7
1543,2,2,Inbound,6402,42
895,8,2,Inbound,6204,34
1123,16,1,Inbound,6604,19
877,29,1,Inbound,6201,57
421,13,2,Outbound,6203,44
1468,2,1,Outbound,4102,33
455,2,2,Outbound,1202,33
1407,1,1,Outbound,1221,35
543,16,2,Outbound,6603,15
10,2,1,Outbound,6605,33
1939,15,2,Inbound,6401,58
1993,17,2,Outbound,6701,11
114,8,1,Outbound,6201,9
369,8,2,Inbound,6203,34
33,7,1,Outbound,4102,4
1243,18,2,Inbound,6802,28
1106,16,1,Inbound,6602,19
2286,11,2,Outbound,6601,2
1851,12,3,Inbound,6003,25
2213,35,1,Inbound,1012,8
1658,5,2,Inbound,6002,23
1517,2,1,Inbound,6601,42
21,2,1,Outbound,6601,33
1872,13,3,Inbound,4403,22
694,33,3,Outbound,6604,24
1533,2,1,Inbound,6604,42
1320,35,2,Inbound,1012,77
208,16,1,Outbound,6604,43
2218,35,1,Inbound,1011,8
1389,37,1,Inbound,9902,50
2030,20,1,Outbound,9402,67
1926,15,1,Inbound,6422,68
291,7,2,Inbound,4102,0
1075,15,1,Outbound,6401,53
859,29,1,Outbound,6202,61
1318,35,2,Inbound,1012,77
1238,18,2,Outbound,6801,55
2313,11,2,Inbound,6605,3
1346,35,2,Inbound,1012,77
2193,35,1,Inbound,1012,8
363,8,2,Outbound,4404,9
1487,2,1,Inbound,6601,42
1813,12,1,Inbound,6011,46
37,7,1,Outbound,4102,4
203,16,1,Outbound,6604,43
705,33,3,Outbound,6603,24
1098,15,2,Outbound,6402,53
115,8,1,Outbound,6202,9
1111,16,1,Inbound,6602,19
897,8,2,Inbound,4403,34
1037,14,1,Inbound,6204,70
98,8,1,Outbound,4403,9
2086,23,3,Outbound,9901,56
2207,35,1,Inbound,1012,8
347,7,3,Inbound,4101,0
1509,2,1,Inbound,6602,42
592,23,3,Inbound,9901,27
1306,35,2,Inbound,1012,77
1270,35,2,Outbound,1011,20
211,16,1,Outbound,6605,43
1847,12,3,Inbound,6002,25
2210,35,1,Inbound,1011,8
377,8,2,Inbound,4404,34
295,7,2,Inbound,4102,0
460,2,2,Outbound,1201,33
1693,5,1,Inbound,6011,23
1583,5,3,Inbound,6003,23
2028,20,1,Outbound,9405,80
1301,35,2,Inbound,1011,77
1589,7,1,Outbound,4111,4
74,7,1,Inbound,4101,0
188,13,1,Outbound,6201,72
1198,18,1,Outbound,6803,16
2064,20,2,Inbound,9401,10
1134,16,2,Inbound,6601,19
1018,14,1,Outbound,6202,54
101,8,1,Outbound,4406,9
393,8,3,Inbound,4402,34
1241,18,2,Inbound,6802,28
274,7,2,Outbound,4101,4
222,1,2,Outbound,6401,35
2108,36,2,Inbound,4101,66
532,16,1,Outbound,6603,43
1607,7,2,Inbound,4102,0
1247,18,2,Inbound,6802,28
955,10,1,Inbound,6804,7
1661,5,2,Inbound,6002,23
1460,1,3,Inbound,1201,51
1854,13,1,Outbound,6204,72
1715,9,1,Outbound,1202,18
561,16,2,Outbound,6601,15
1690,5,1,Inbound,6002,23
78,7,1,Inbound,4101,0
1599,7,1,Inbound,4122,0
2229,35,1,Outbound,1012,5
517,12,2,Inbound,6002,25
2246,35,1,Outbound,1011,5
1001,13,1,Inbound,4403,63
2334,13,2,Outbound,4401,44
1032,14,1,Inbound,4403,70
1663,5,2,Inbound,6001,23
2137,29,2,Outbound,4301,61
1136,16,2,Inbound,6603,19
979,13,1,Inbound,4405,63
1812,12,1,Inbound,6001,46
278,7,2,Outbound,4101,4
1960,15,3,Inbound,6401,58
2002,17,2,Inbound,6701,12
1510,2,1,Inbound,4104,42
2153,29,2,Inbound,4301,57
861,29,1,Outbound,4402,61
2059,20,2,Outbound,9401,37
1034,14,1,Inbound,4401,70
1504,2,1,Inbound,4101,42
692,33,3,Outbound,6602,24
345,7,3,Inbound,4101,0
589,16,3,Outbound,6603,15
2151,29,2,Inbound,4301,57
2253,35,1,Outbound,1012,5
1743,9,1,Inbound,1222,69
1022,14,1,Outbound,4402,54
1691,5,1,Inbound,6012,23
1631,28,1,Inbound,4201,14
1859,13,3,Outbound,4403,44
1130,16,1,Inbound,6601,19
2162,18,3,Outbound,6802,55
1317,35,2,Inbound,1011,77
986,13,1,Inbound,4402,63
1753,9,2,Outbound,1201,18
1744,9,1,Inbound,1221,69
1278,35,2,Outbound,1011,20
1555,2,3,Inbound,6402,42
1044,14,2,Inbound,4402,75
1751,9,2,Outbound,1201,18
519,12,2,Inbound,6001,25
1837,12,3,Outbound,6003,21
2201,35,1,Inbound,1012,8
466,2,2,Outbound,6403,33
994,13,1,Inbound,6203,63
129,8,1,Inbound,4402,34
130,8,1,Inbound,4403,34
2420,39,1,Inbound,9925,45
1207,18,1,Outbound,6812,74
2075,20,3,Outbound,9401,37
1942,15,3,Outbound,6402,53
480,29,1,Inbound,4407,57
272,7,2,Outbound,4101,4
1779,10,3,Outbound,6002,29
1660,5,2,Inbound,6001,23
1802,12,1,Outbound,6001,21
1160,16,2,Inbound,6603,6
886,8,2,Outbound,6201,9
1387,37,1,Inbound,9922,36
1404,1,1,Outbound,1211,35
171,11,1,Inbound,9403,3
900,8,2,Inbound,4404,34
457,2,2,Outbound,1202,33
179,11,1,Inbound,9401,3
1518,2,1,Inbound,4104,42
1359,23,2,Inbound,9902,27
467,29,1,Outbound,4407,61
894,8,2,Inbound,6202,34
2219,35,1,Inbound,1012,8
872,29,1,Inbound,6202,57
1935,15,2,Inbound,6403,58
1937,15,2,Inbound,6402,58
1081,15,1,Outbound,6401,53
1013,13,2,Inbound,6203,22
2262,35,1,Outbound,1011,5
991,13,1,Inbound,4407,63
2325,11,2,Inbound,6602,3
2196,35,1,Inbound,1011,8
1168,16,3,Inbound,6601,19
973,13,1,Outbound,4406,72
1174,16,3,Inbound,6603,19
276,7,2,Outbound,4101,4
1147,16,2,Inbound,6604,19
1725,9,1,Outbound,1221,18
590,23,3,Inbound,9901,27
2275,11,2,Outbound,6605,2
1818,12,1,Inbound,6001,25
1223,18,1,Inbound,6822,28
1091,15,2,Outbound,6401,53
167,11,1,Inbound,9402,3
1569,5,3,Outbound,6001,1
1997,17,2,Outbound,6701,11
1930,15,2,Inbound,6401,58
235,1,3,Outbound,6403,35
1367,21,1,Outbound,9901,30
928,10,1,Outbound,6804,29
200,14,1,Outbound,4401,54
616,11,1,Outbound,9403,2
1523,2,1,Inbound,6604,42
1291,35,2,Outbound,1012,20
695,33,3,Outbound,6601,24
1868,13,3,Outbound,4404,44
79,7,1,Inbound,4102,0
1429,1,1,Inbound,1202,73
2401,37,1,Inbound,9901,36
502,10,2,Inbound,6003,7
1603,7,1,Inbound,4122,0
1285,35,2,Outbound,1012,20
965,13,1,Outbound,4405,72
1062,14,3,Inbound,4401,75
1116,16,1,Inbound,6602,19
2056,20,2,Outbound,9401,37
223,1,2,Outbound,6402,35
444,14,3,Outbound,4402,48
1678,5,1,Outbound,6001,1
338,7,3,Inbound,4102,0
2000,17,2,Outbound,6701,11
892,8,2,Inbound,4402,34
435,14,2,Outbound,6201,48
513,12,2,Outbound,6001,21
1601,7,1,Inbound,4122,0
1085,15,1,Outbound,6412,53
1645,5,2,Outbound,6001,1
311,7,3,Outbound,4102,4
1149,16,2,Inbound,6601,19
1765,9,2,Inbound,1201,17
67,7,1,Inbound,4102,0
624,23,2,Inbound,9901,27
2299,11,2,Outbound,6604,2
2089,23,2,Outbound,9901,56
1530,2,1,Inbound,4102,42
1079,15,1,Outbound,6401,53
1360,37,1,Outbound,9902,86
1477,2,1,Outbound,4103,33
379,8,3,Outbound,4403,9
2302,11,2,Inbound,6604,3
2403,39,1,Outbound,9916,40
2014,18,1,Inbound,6804,28
2037,20,1,Inbound,9402,10
1783,10,3,Inbound,6003,7
215,16,1,Outbound,6603,43
1244,18,2,Inbound,6801,28
1773,10,3,Outbound,6002,29
1531,2,1,Inbound,6603,42
1825,12,1,Inbound,6021,46
2354,13,2,Inbound,6203,22
359,8,2,Outbound,6202,9
609,11,1,Outbound,9403,2
1439,1,2,Inbound,1202,51
2304,11,2,Inbound,6601,3
891,8,2,Inbound,4405,34
2048,20,1,Inbound,9402,10
952,10,1,Inbound,6801,7
976,13,1,Outbound,4401,72
604,11,1,Outbound,9405,2
1728,9,1,Inbound,1201,69
969,13,1,Outbound,4402,72
1481,2,1,Outbound,4103,33
228,1,2,Outbound,6401,35
525,12,2,Inbound,6001,25
1766,9,2,Inbound,1202,17
1182,16,3,Inbound,6603,19
2295,11,2,Outbound,6605,2
971,13,1,Outbound,4402,72
1235,18,2,Outbound,6802,55
1903,15,1,Inbound,6411,58
1527,2,1,Inbound,6601,42
1948,15,3,Outbound,6402,53
1618,28,1,Outbound,4201,13
2185,35,1,Inbound,1012,8
1452,1,3,Inbound,1201,51
50,7,1,Outbound,4103,4
1455,1,3,Inbound,1201,51
2366,14,2,Outbound,4401,48
277,7,2,Outbound,4102,4
1848,12,3,Inbound,6003,25
2013,18,1,Outbound,6803,16
1289,35,2,Outbound,1012,20
41,7,1,Outbound,4102,4
2021,20,1,Outbound,9403,67
441,14,3,Outbound,4403,48
437,14,2,Outbound,4404,48
930,10,1,Outbound,6804,29
918,10,1,Outbound,6804,29
975,13,1,Outbound,6203,72
1855,13,1,Inbound,6202,63
1345,35,2,Inbound,1011,77
1604,7,2,Outbound,4102,4
1561,2,3,Inbound,6402,42
518,12,2,Inbound,6003,25
1084,15,1,Outbound,6411,53
620,11,1,Outbound,9404,2
1274,35,2,Outbound,1011,20
69,7,1,Inbound,4104,0
154,8,1,Inbound,6204,34
108,8,1,Outbound,4402,9
422,13,2,Outbound,4404,44
713,33,3,Inbound,6602,81
2371,14,2,Inbound,4402,75
1784,10,3,Inbound,6001,7
166,11,1,Inbound,9405,3
1063,14,3,Inbound,4402,75
1880,13,3,Inbound,4403,22
1145,16,2,Inbound,6602,19
201,14,1,Outbound,4403,54
1164,16,3,Inbound,6601,19
1911,15,1,Inbound,6401,58
307,7,2,Inbound,4101,0
1437,1,2,Inbound,1202,51
1629,28,1,Inbound,4211,14
703,33,3,Outbound,6601,24
876,29,1,Inbound,4406,57
339,7,3,Inbound,4101,0
391,8,3,Inbound,4404,34
190,13,1,Outbound,4403,72
1294,35,2,Outbound,1011,20
145,8,1,Inbound,4407,34
2119,36,1,Outbound,4131,79
2046,20,1,Inbound,9405,10
155,8,1,Inbound,4401,34
1252,35,2,Outbound,1011,20
1199,18,1,Outbound,6801,16
2399,21,1,Inbound,9911,32
974,13,1,Outbound,6201,72
617,11,1,Outbound,9401,2
2060,20,2,Outbound,9401,37
1368,21,1,Outbound,9902,30
1686,5,1,Outbound,6021,1
1839,12,3,Outbound,6002,21
1365,37,1,Outbound,9901,39
700,33,3,Outbound,6602,24
425,14,2,Outbound,4404,48
1143,16,2,Inbound,6605,19
1763,9,2,Inbound,1201,17
1760,9,2,Inbound,1202,17
2124,7,1,Outbound,4112,4
1288,35,2,Outbound,1011,20
1673,5,1,Outbound,6002,1
959,33,3,Outbound,6603,24
266,7,2,Outbound,4101,4
411,13,2,Outbound,4401,44
707,33,3,Outbound,6601,24
2116,36,3,Inbound,4131,78
404,10,2,Outbound,6003,29
2111,36,3,Outbound,4131,79
1466,2,1,Outbound,4104,33
943,10,1,Inbound,6804,7
138,8,1,Inbound,6204,34
355,8,2,Outbound,6203,9
2146,29,2,Inbound,4301,57
2244,35,1,Outbound,1011,5
97,8,1,Outbound,4402,9
1219,18,1,Inbound,6803,28
1406,1,1,Outbound,1211,35
2182,35,1,Inbound,1011,8
243,2,3,Outbound,1201,33
1210,18,1,Inbound,6803,28
1414,1,1,Inbound,1211,73
1038,14,1,Inbound,4402,70
1781,10,3,Inbound,6001,7
1617,28,1,Outbound,4201,13
140,8,1,Inbound,4402,34
169,11,1,Inbound,9403,3
2227,35,1,Outbound,1012,5
1016,14,1,Outbound,4407,54
1321,35,2,Inbound,1011,77
270,7,2,Outbound,4101,4
364,8,2,Inbound,4402,34
1692,5,1,Inbound,6001,23
1356,23,2,Inbound,9902,27
1734,9,1,Inbound,1201,69
1319,35,2,Inbound,1011,77
1635,28,1,Inbound,4221,14
559,16,2,Outbound,6604,15
1528,2,1,Inbound,4101,42
2284,11,2,Outbound,6604,2
337,7,3,Inbound,4101,0
1157,16,2,Inbound,6604,19
1380,21,1,Inbound,9902,32
1702,5,1,Inbound,6002,23
1086,15,1,Outbound,6422,53
283,7,2,Inbound,4102,0
158,11,1,Inbound,9401,3
35,7,1,Outbound,4104,4
2306,11,2,Inbound,6603,3
117,8,1,Outbound,6204,9
1798,12,1,Outbound,6001,21
1965,17,1,Outbound,6701,41
2206,35,1,Inbound,1011,8
1830,12,3,Outbound,6002,21
599,11,1,Outbound,9404,2
908,10,1,Outbound,6812,29
1260,35,2,Outbound,1011,20
1340,35,2,Inbound,1012,77
1061,14,3,Inbound,4404,75
1794,12,1,Outbound,6002,52
1774,10,3,Outbound,6003,29
406,10,2,Outbound,6002,29
1906,15,1,Inbound,6402,58
1332,35,2,Inbound,1012,77
1329,35,2,Inbound,1011,77
554,16,2,Outbound,6604,15
250,2,3,Outbound,1201,33
354,8,2,Outbound,6201,9
2147,29,2,Inbound,4301,57
105,8,1,Outbound,6203,9
248,2,3,Outbound,1201,33
1501,2,1,Inbound,6603,42
1593,7,1,Outbound,4122,4
1739,9,1,Inbound,1202,69
1705,5,1,Inbound,6001,23
2100,36,1,Inbound,4131,78
1761,9,2,Inbound,1201,17
1638,28,1,Inbound,4221,14
349,7,3,Inbound,4101,0
287,7,2,Inbound,4102,0
1525,2,1,Inbound,6605,42
1898,14,1,Inbound,4407,70
264,7,2,Outbound,4101,4
1119,16,1,Inbound,6605,19
987,13,1,Inbound,4403,63
396,8,3,Inbound,4401,34
983,13,1,Inbound,4407,63
940,10,1,Inbound,6801,7
373,8,2,Inbound,6202,34
495,10,2,Inbound,6002,7
2069,20,2,Inbound,9402,10
506,12,2,Outbound,6003,21
17,2,1,Outbound,6602,33
1459,1,3,Inbound,1201,51
852,29,1,Outbound,4406,61
2055,20,2,Outbound,9402,37
439,14,3,Outbound,4401,48
1789,10,3,Inbound,6003,7
1430,1,1,Inbound,1221,73
2363,14,2,Outbound,6203,48
1936,15,2,Inbound,6401,58
1480,2,1,Outbound,4102,33
1821,12,1,Inbound,6002,25
621,23,2,Inbound,9901,27
1806,12,1,Outbound,6001,52
65,7,1,Inbound,4104,0
1399,1,1,Outbound,1201,35
558,16,2,Outbound,6603,15
1788,10,3,Inbound,6002,7
2152,29,2,Inbound,4301,57
268,7,2,Outbound,4101,4
361,8,2,Outbound,6201,9
2251,35,1,Outbound,1012,5
1732,9,1,Inbound,1201,69
410,13,2,Outbound,4404,71
1951,15,3,Outbound,6402,59
1625,28,1,Inbound,4211,14
1374,21,1,Outbound,9921,30
1190,18,1,Outbound,6801,16
2387,18,3,Inbound,6801,28
334,7,3,Inbound,4102,0
1899,14,1,Inbound,6201,70
2320,11,2,Inbound,6602,3
1484,2,1,Outbound,4102,33
2189,35,1,Inbound,1012,8
2184,35,1,Inbound,1011,8
1161,16,2,Inbound,6603,62
2080,20,3,Inbound,9401,10
1236,18,2,Outbound,6801,55
409,10,2,Outbound,6002,29
