trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
1300049,05:55:00,05:55:00,111,1,,0,0,
1300049,,,1023,2,,0,0,
1300049,06:05:00,06:05:00,971,3,,0,0,
1300049,,,871,4,,0,0,
1300049,,,968,5,,0,0,
1300049,06:10:00,06:10:00,963,6,,0,0,
1300049,,,964,7,,0,0,
1300049,06:35:00,06:35:00,134,8,,0,0,
1300879,06:45:00,06:45:00,111,1,,0,0,
1300879,,,1023,2,,0,0,
1300879,06:55:00,06:55:00,971,3,,0,0,
1300879,,,871,4,,0,0,
1300879,,,968,5,,0,0,
1300879,07:10:00,07:10:00,963,6,,0,0,
1300879,,,964,7,,0,0,
1300879,07:25:00,07:25:00,134,8,,0,0,
1301709,07:55:00,07:55:00,111,1,,0,0,
1301709,,,1023,2,,0,0,
1301709,08:05:00,08:05:00,971,3,,0,0,
1301709,,,871,4,,0,0,
1301709,,,968,5,,0,0,
1301709,08:10:00,08:10:00,963,6,,0,0,
1301709,,,964,7,,0,0,
1301709,08:35:00,08:35:00,134,8,,0,0,
1302539,09:55:00,09:55:00,111,1,,0,0,
1302539,,,1023,2,,0,0,
1302539,10:05:00,10:05:00,971,3,,0,0,
1302539,,,871,4,,0,0,
1302539,,,968,5,,0,0,
1302539,10:10:00,10:10:00,963,6,,0,0,
1302539,,,964,7,,0,0,
1302539,10:35:00,10:35:00,134,8,,0,0,
1303369,13:30:00,13:30:00,111,1,,0,0,
1303369,,,1023,2,,0,0,
1303369,13:40:00,13:40:00,971,3,,0,0,
1303369,,,871,4,,0,0,
1303369,,,968,5,,0,0,
1303369,13:45:00,13:45:00,963,6,,0,0,
1303369,,,964,7,,0,0,
1303369,14:05:00,14:05:00,134,8,,0,0,
1304199,15:30:00,15:30:00,111,1,,0,0,
1304199,,,1023,2,,0,0,
1304199,15:40:00,15:40:00,971,3,,0,0,
1304199,,,871,4,,0,0,
1304199,,,968,5,,0,0,
1304199,15:45:00,15:45:00,963,6,,0,0,
1304199,,,964,7,,0,0,
1304199,16:05:00,16:05:00,134,8,,0,0,
1305029,16:30:00,16:30:00,111,1,,0,0,
1305029,,,1023,2,,0,0,
1305029,16:40:00,16:40:00,971,3,,0,0,
1305029,,,871,4,,0,0,
1305029,,,968,5,,0,0,
1305029,16:45:00,16:45:00,963,6,,0,0,
1305029,,,964,7,,0,0,
1305029,17:05:00,17:05:00,134,8,,0,0,
1305859,17:30:00,17:30:00,111,1,,0,0,
1305859,,,1023,2,,0,0,
1305859,17:40:00,17:40:00,971,3,,0,0,
1305859,,,871,4,,0,0,
1305859,,,968,5,,0,0,
1305859,17:45:00,17:45:00,963,6,,0,0,
1305859,,,964,7,,0,0,
1305859,18:05:00,18:05:00,134,8,,0,0,
1306689,18:30:00,18:30:00,111,1,,0,0,
1306689,,,1023,2,,0,0,
1306689,18:40:00,18:40:00,971,3,,0,0,
1306689,,,871,4,,0,0,
1306689,,,968,5,,0,0,
1306689,18:45:00,18:45:00,963,6,,0,0,
1306689,,,964,7,,0,0,
1306689,19:05:00,19:05:00,134,8,,0,0,
2500889,09:00:00,09:00:00,78,1,,0,0,
2500889,,,745,2,,0,0,
2500889,,,746,3,,0,0,
2500889,,,747,4,,0,0,
2500889,,,748,5,,0,0,
2500889,,,749,6,,0,0,
2500889,09:08:00,09:08:00,1,7,,0,0,
2500889,,,1074,8,,0,0,
2500889,,,880,9,,0,0,
2500889,,,866,10,,0,0,
2500889,09:12:00,09:12:00,135,11,,0,0,
2500889,,,750,12,,0,0,
2500889,,,751,13,,0,0,
2500889,,,752,14,,0,0,
2500889,09:18:00,09:18:00,753,15,,0,0,
2500889,,,754,16,,0,0,
2500889,,,782,17,,0,0,
2500889,,,1035,18,,0,0,
2500889,09:30:00,09:30:00,78,19,,0,0,
2501719,11:00:00,11:00:00,78,1,,0,0,
2501719,,,745,2,,0,0,
2501719,,,746,3,,0,0,
2501719,,,747,4,,0,0,
2501719,,,748,5,,0,0,
2501719,,,749,6,,0,0,
2501719,11:08:00,11:08:00,1,7,,0,0,
2501719,,,1074,8,,0,0,
2501719,,,880,9,,0,0,
2501719,,,866,10,,0,0,
2501719,11:12:00,11:12:00,135,11,,0,0,
2501719,,,750,12,,0,0,
2501719,,,751,13,,0,0,
2501719,,,752,14,,0,0,
2501719,11:18:00,11:18:00,753,15,,0,0,
2501719,,,754,16,,0,0,
2501719,,,782,17,,0,0,
2501719,,,1035,18,,0,0,
2501719,11:30:00,11:30:00,78,19,,0,0,
2503379,15:00:00,15:00:00,78,1,,0,0,
2503379,,,745,2,,0,0,
