stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
2,"Greenbank: Greenbank Farm: SR 525 at Smugglers Cove Rd","",48.108303,-122.580446,1,,0,
3,"SR 525 at Ellwood Dr","",48.120790,-122.587469,1,,0,
4,"SR 525 at Gramayre Rd","",48.128428,-122.589342,1,,0,
6,"SR 525 at Houston Rd","",48.152945,-122.595395,1,,0,
7,"SR 525 south of Admiral's Dr","",48.160050,-122.603747,1,,0,
8,"SR 525 at Race Rd and Poggensee Rd","",48.171013,-122.608671,1,,0,
9,"SR 20 at W Welcher Rd","",48.190656,-122.626602,1,,0,
10,"SR 20 at Rhododendron St Park and Animal Shelter","",48.207922,-122.651545,1,,0,
11,"SR 20 at S Quail Trail Ln","",48.208741,-122.657918,1,,0,
12,"SR 20 at Sherman St","",48.212347,-122.703866,1,,0,
13,"SR 20 at NW Madrona Way","",48.233081,-122.735747,1,,0,
14,"SR 20 at N Power Rd (San Juan De Fuca Store)","",48.234978,-122.723479,1,,0,
15,"Oak Harbor: Arnold Rd at N Riepma Rd","",48.240756,-122.708499,1,,0,
17,"Oak Harbor Wes Lupien Airport","",48.251046,-122.680529,1,,0,
19,"SR 20 at Haga Rd","",48.278778,-122.669378,1,,0,
21,"Dock St at Barrington Dr","",48.290179,-122.649026,1,,0,
22,"SR 20 at SW Swantown Ave","",48.282946,-122.669525,1,,0,
23,"SR 20 at Haga Rd","",48.278922,-122.669558,1,,0,
25,"Oak Harbor Wes Lupien Airport","",48.250971,-122.680635,1,,0,
26,"Madrona at Kennedy Lagoon","",48.228547,-122.734827,1,,0,
27,"Arnold Rd at Sharon St (Penn Cove)","",48.241351,-122.700383,1,,0,
28,"Arnold Rd at N Riepma Rd","",48.240842,-122.708699,1,,0,
29,"SR 20 at N Power Rd (San Juan De Fuca)","",48.235253,-122.723416,1,,0,
30,"Coupeville: SR 20 at Libbey Rd to Coupeville","",48.231377,-122.739412,1,,0,
31,"SR 20 at Sherman St","",48.212226,-122.702877,1,,0,
32,"Coupeville High School on Terry Rd near S Main St","",48.207422,-122.685271,1,,0,
33,"SR 20 at E Jacob Rd","",48.208626,-122.658899,1,,0,
35,"SR 20 at Navy OLF","",48.183915,-122.626863,1,,0,
36,"SR 525 at Admiral's Drive","",48.163040,-122.606322,1,,0,
37,"SR 525 at Houston Rd","",48.152216,-122.595103,1,,0,
38,"SR 525 at Ledgewood Beach Road / Cox Dr","",48.137084,-122.591615,1,,0,
39,"SR 525 at Gramayre Rd","",48.128145,-122.589784,1,,0,
40,"SR 525 at Ellwood Dr","",48.120479,-122.587665,1,,0,
44,"Smuggler Cove Rd at High St","",48.033438,-122.594074,1,,0,
45,"Smugglers Cove at Scurlock Rd","",48.025825,-122.595174,1,,0,
46,"Freeland: South Whidbey State Park to Clinton","",48.056398,-122.591114,1,,0,
48,"Mutiny Bay at Bush Point Rd","",48.014432,-122.560541,1,,0,
49,"SR 525 at Bush Point Road in Freeland","",48.014799,-122.545159,1,,0,
50,"Freeland Park and Ride on SR 525","",48.010063,-122.535671,1,,0,
51,"Payless Foods: Main St near SR 525 (Freeland)","",48.009482,-122.528447,1,,0,
52,"Madrona at Captain Whidbey Inn","",48.222443,-122.730407,1,,0,
55,"SR 525 West of Newman Rd (Red Barn)","",48.006982,-122.495255,1,,0,
56,"SR 525 at Useless Bay Ave","",48.006466,-122.485371,1,,0,
57,"Bay View Park and Ride @ SR 525","",48.003353,-122.461829,1,,0,
59,"SR 525 at Maxwelton Rd.","",48.000889,-122.414442,1,,0,
