route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
15,23,1300049,"Mt Vernon",,184,1
15,23,1300879,"Mt Vernon",,,2
15,23,1301709,"Mt Vernon",,184,3
15,23,1302539,"Mt Vernon",,117,4
15,23,1303369,"Mt Vernon",,123,5
15,23,1304199,"Mt Vernon",,183,6
15,23,1305029,"Mt Vernon",,179,7
15,23,1305859,"Mt Vernon",,182,8
15,23,1306689,"Mt Vernon",,125,9
32,23,2500889,"East Oak Harbor",,137,10
32,23,2501719,"East Oak Harbor",,176,11
32,23,2503379,"East Oak Harbor",,170,12
32,23,2504209,"East Oak Harbor",,176,13
66,23,4101229,"West",,116,29
66,23,4102059,"West",,165,30
66,23,4102889,"West",,115,31
66,23,4103719,"West",,116,32
66,23,4104549,"West",,116,33
66,23,4105379,"West",,115,34
66,23,4106209,"West",,116,35
66,23,4107039,"West",,123,36
66,23,4107869,"West",,125,37
66,23,4108699,"West",,179,38
66,23,4109529,"West",,125,39
66,23,4110359,"West",,183,40
66,23,4111189,"West",,125,41
66,23,4112019,"West",,179,42
66,23,4112849,"West",,,43
56,23,4151219,"East Camano",,115,14
56,23,4152049,"East Camano",,116,15
56,23,4152879,"East Camano",,165,16
56,23,4153709,"East Camano",,115,17
56,23,4154539,"East Camano",,122,18
56,23,4155369,"East Camano",,122,19
56,23,4156199,"East Camano",,123,20
56,23,4157029,"East Camano",,125,21
56,23,4157859,"East Camano",,179,22
56,23,4158689,"East Camano",,125,23
56,23,4159519,"East Camano",,179,24
56,23,4160349,"East Camano",,125,25
56,23,4161179,"East Camano",,119,26
56,23,4162009,"East Camano",,182,27
56,23,4162839,"East Camano",,185,28
2,23,5552562,"Scatchet",,105,44
2,23,5552563,"Scatchet",,106,45
2,23,5552564,"Scatchet",,106,46
2,23,5552582,"Scatchet/Langley",,171,49
2,23,5552583,"Scatchet/Langley",,171,50
2,23,5552584,"Scatchet/Langley",,171,51
3,23,5552585,"City Shuttle",,,52
3,23,5552587,"City Shuttle",,,53
3,23,5552590,"City Shuttle",,,54
