service_id,date,exception_type
mtwtfs,20140704,2
mtwtf,20140704,2
mtwtfs,20140901,2
mtwtfs,20141111,2
mtwtfs,20141127,2
mtwtfs,20141225,2
mtwtfs,20150101,2
mtwtfs,20150525,2
mtwtfs,20150704,2
mtwtfs,20150912,2
mtwtfs,20151111,2
mtwtfs,20151126,2
mtwtfs,20151225,2
mtwtfs,20160101,2
mtwtf,20140901,2
mtwtf,20141111,2
mtwtf,20141127,2
mtwtf,20141225,2
mtwtf,20150101,2
mtwtf,20150525,2
mtwtf,20150704,2
mtwtf,20150912,2
mtwtf,20151111,2
mtwtf,20151126,2
mtwtf,20151225,2
mtwtf,20160101,2
