route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
1,jta,1,Quilcene / Brinnon Via Tri-Area,,3,http://jeffersontransit.com/maps-schedules/schedules/1-brinnon-quilcene-tri-area-route/,FF0000,ffffff
6A,jta,6,Tri-Area Loop A,,3,http://jeffersontransit.com/maps-schedules/schedules/6-tri-area-loop-route/,6600CC,ffffff
6B,jta,6,Tri-Area Loop B,,3,http://jeffersontransit.com/maps-schedules/schedules/6-tri-area-loop-route/,6600CC,ffffff
7,jta,7,Poulsbo via Tri-Area / Port Ludlow,,3,http://jeffersontransit.com/maps-schedules/schedules/7-poulsbo-port-ludlow-tri-area-route/,FF0000,ffffff
8,jta,8,Sequim,,3,http://jeffersontransit.com/maps-schedules/schedules/8-sequim-route/,FF0000,ffffff
20,jta,,Olympic Connection,,3,http://jeffersontransit.com/maps-schedules/schedules/olympic-connection/,FF0000,ffffff
11A,jta,11A,Shuttle A,,3,http://jeffersontransit.com/maps-schedules/schedules/11-shuttle/,9900FF,
11B,jta,11B,Shuttle B,,3,http://jeffersontransit.com/maps-schedules/schedules/11-shuttle/,9900FF,
3,jta,3,Castle Hill,,3,http://jeffersontransit.com/maps-schedules/schedules/3-castle-hill-connector/,33CC33,ffffff
2,jta,2,Mountain View Connector,,3,http://jeffersontransit.com/maps-schedules/schedules/2-mountain-view-connector/,0033CC,ffffff
