trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
SE_day_T01,07:00:00,07:00:00,1118,1,,,,0
SE_day_T01,,,1446,2,,,,0.549
SE_day_T01,07:03:00,07:03:00,1449,3,,,,1.016
SE_day_T01,07:05:00,07:05:00,1604,4,,,,1.909
SE_day_T01,,,1487,5,,,,2.495
SE_day_T01,,,1886,6,,,,3.262
SE_day_T01,07:07:00,07:07:00,1887,7,,,,3.418
SE_day_T01,,,1888,8,,,,3.751
SE_day_T01,07:09:00,07:09:00,1890,9,,,,4.197
SE_day_T01,,,1607,10,,,,4.916
SE_day_T01,,,1457,11,,,,5.166
SE_day_T01,07:13:00,07:13:00,1461,12,,,,6.117
SE_day_T01,,,1462,13,,,,6.915
SE_day_T01,07:16:00,07:16:00,1454,14,,,,8.069
SE_day_T01,,,1464,15,,,,8.681
SE_day_T01,07:17:00,07:17:00,1455,16,,,,8.815
SE_day_T01,,,1514,17,,,,9.042
SE_day_T01,07:19:00,07:19:00,1468,18,,,,9.643
SE_day_T01,07:20:00,07:20:00,1469,19,,,,10.048
SE_day_T01,,,1470,20,,,,10.511
SE_day_T01,,,1800,21,,,,10.774
SE_day_T01,,,1445,22,,,,11.222
SE_day_T01,07:25:00,07:25:00,1118,23,,,,11.774
SE_day_T02,08:00:00,08:00:00,1118,1,,,,0
SE_day_T02,,,1446,2,,,,0.549
SE_day_T02,08:03:00,08:03:00,1449,3,,,,1.016
SE_day_T02,08:05:00,08:05:00,1604,4,,,,1.909
SE_day_T02,,,1487,5,,,,2.495
SE_day_T02,,,1886,6,,,,3.262
SE_day_T02,08:07:00,08:07:00,1887,7,,,,3.418
SE_day_T02,,,1888,8,,,,3.751
SE_day_T02,08:09:00,08:09:00,1890,9,,,,4.197
SE_day_T02,,,1607,10,,,,4.916
SE_day_T02,,,1457,11,,,,5.166
SE_day_T02,08:13:00,08:13:00,1461,12,,,,6.117
SE_day_T02,,,1462,13,,,,6.915
SE_day_T02,08:16:00,08:16:00,1454,14,,,,8.069
SE_day_T02,,,1464,15,,,,8.681
SE_day_T02,08:17:00,08:17:00,1455,16,,,,8.815
SE_day_T02,,,1514,17,,,,9.042
SE_day_T02,08:19:00,08:19:00,1468,18,,,,9.643
SE_day_T02,08:20:00,08:20:00,1469,19,,,,10.048
SE_day_T02,,,1470,20,,,,10.511
SE_day_T02,,,1800,21,,,,10.774
SE_day_T02,,,1445,22,,,,11.222
SE_day_T02,08:25:00,08:25:00,1118,23,,,,11.774
SE_mf_T01,09:00:00,09:00:00,1118,1,,,,0
SE_mf_T01,,,1446,2,,,,0.549
SE_mf_T01,09:03:00,09:03:00,1449,3,,,,1.016
SE_mf_T01,09:05:00,09:05:00,1604,4,,,,1.909
SE_mf_T01,,,1487,5,,,,2.495
SE_mf_T01,,,1886,6,,,,3.262
SE_mf_T01,09:07:00,09:07:00,1887,7,,,,3.418
SE_mf_T01,,,1888,8,,,,3.751
SE_mf_T01,09:09:00,09:09:00,1890,9,,,,4.197
SE_mf_T01,,,1607,10,,,,4.916
SE_mf_T01,,,1457,11,,,,5.166
SE_mf_T01,09:13:00,09:13:00,1461,12,,,,6.117
SE_mf_T01,,,1462,13,,,,6.915
SE_mf_T01,09:16:00,09:16:00,1454,14,,,,8.069
SE_mf_T01,,,1464,15,,,,8.681
SE_mf_T01,09:17:00,09:17:00,1455,16,,,,8.815
SE_mf_T01,,,1514,17,,,,9.042
SE_mf_T01,09:19:00,09:19:00,1468,18,,,,9.643
SE_mf_T01,09:20:00,09:20:00,1469,19,,,,10.048
SE_mf_T01,,,1470,20,,,,10.511
SE_mf_T01,,,1800,21,,,,10.774
SE_mf_T01,,,1445,22,,,,11.222
SE_mf_T01,09:25:00,09:25:00,1118,23,,,,11.774
SE_mf_T02,10:00:00,10:00:00,1118,1,,,,0
SE_mf_T02,,,1446,2,,,,0.549
SE_mf_T02,10:03:00,10:03:00,1449,3,,,,1.016
SE_mf_T02,10:05:00,10:05:00,1604,4,,,,1.909
SE_mf_T02,,,1487,5,,,,2.495
SE_mf_T02,,,1886,6,,,,3.262
SE_mf_T02,10:07:00,10:07:00,1887,7,,,,3.418
SE_mf_T02,,,1888,8,,,,3.751
SE_mf_T02,10:09:00,10:09:00,1890,9,,,,4.197
SE_mf_T02,,,1607,10,,,,4.916
SE_mf_T02,,,1457,11,,,,5.166
SE_mf_T02,10:13:00,10:13:00,1461,12,,,,6.117
SE_mf_T02,,,1462,13,,,,6.915
SE_mf_T02,10:16:00,10:16:00,1454,14,,,,8.069
SE_mf_T02,,,1464,15,,,,8.681
SE_mf_T02,10:17:00,10:17:00,1455,16,,,,8.815
SE_mf_T02,,,1514,17,,,,9.042
SE_mf_T02,10:19:00,10:19:00,1468,18,,,,9.643
SE_mf_T02,10:20:00,10:20:00,1469,19,,,,10.048
SE_mf_T02,,,1470,20,,,,10.511
SE_mf_T02,,,1800,21,,,,10.774
SE_mf_T02,,,1445,22,,,,11.222
SE_mf_T02,10:25:00,10:25:00,1118,23,,,,11.774
SE_mf_T03,11:00:00,11:00:00,1118,1,,,,0
SE_mf_T03,,,1446,2,,,,0.549
SE_mf_T03,11:03:00,11:03:00,1449,3,,,,1.016
SE_mf_T03,11:05:00,11:05:00,1604,4,,,,1.909
SE_mf_T03,,,1487,5,,,,2.495
SE_mf_T03,,,1886,6,,,,3.262
SE_mf_T03,11:07:00,11:07:00,1887,7,,,,3.418
SE_mf_T03,,,1888,8,,,,3.751
SE_mf_T03,11:09:00,11:09:00,1890,9,,,,4.197
SE_mf_T03,,,1607,10,,,,4.916
SE_mf_T03,,,1457,11,,,,5.166
SE_mf_T03,11:13:00,11:13:00,1461,12,,,,6.117
SE_mf_T03,,,1462,13,,,,6.915
SE_mf_T03,11:16:00,11:16:00,1454,14,,,,8.069
SE_mf_T03,,,1464,15,,,,8.681
SE_mf_T03,11:17:00,11:17:00,1455,16,,,,8.815
SE_mf_T03,,,1514,17,,,,9.042
SE_mf_T03,11:19:00,11:19:00,1468,18,,,,9.643
SE_mf_T03,11:20:00,11:20:00,1469,19,,,,10.048
SE_mf_T03,,,1470,20,,,,10.511
SE_mf_T03,,,1800,21,,,,10.774
SE_mf_T03,,,1445,22,,,,11.222
SE_mf_T03,11:25:00,11:25:00,1118,23,,,,11.774
SE_mf_T04,12:00:00,12:00:00,1118,1,,,,0
SE_mf_T04,,,1446,2,,,,0.549
SE_mf_T04,12:03:00,12:03:00,1449,3,,,,1.016
SE_mf_T04,12:05:00,12:05:00,1604,4,,,,1.909
SE_mf_T04,,,1487,5,,,,2.495
