stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
1107,,Water and Adams,,48.114845,-122.755244,1,,,
1109,,Port Townsend Library,,48.116228,-122.76358,1,,,
1116,,PT Plaza,,48.1129454,-122.7599028,1,,,
1117,,Skateboard Park/Point Hudson,,48.117352,-122.753495,1,,,
1118,,Haines Place Park and Ride,,48.108757,-122.78125,1,,,
1121,,Highway 20 at Jacob Miller Road,,48.097257,-122.815121,1,,,
1123,,Highway 20 at Seton Road,,48.082695,-122.81731,1,,,
1124,,Highway 20 across from Courtesy Ford,,48.072366,-122.818834,1,,,
1125,,Four Corners Store,,48.049198,-122.818909,1,,,
1126,,Four Corners Road at Highway 19,,48.04300593,-122.7929208,1,,,
1128,,7th Avenue at Moore Street,,48.044607,-122.780617,1,,,
1129,,7th Avenue at Kinkaid Street,,48.046738,-122.780403,1,,,
1130,,7th Avenue at Maude,,48.047448,-122.780328,1,,,
1131,,5th Avenue at Moore Street,,48.044708,-122.775296,1,,,
1132,,5th Avenue at Irondale Road,,48.04252,-122.775393,1,,,
1133,,Patison Road at Irondale Road,,48.042125,-122.776476,1,,,
1134,,Patison Road at 7th Avenue,,48.040397,-122.780607,1,,,
1135,,7th Avenue at May Street,,48.038991,-122.780768,1,,,
1136,,7th Avenue at Flora Street,,48.035956,-122.779469,1,,,
1137,,Mason Street at Fir Circle,,48.035275,-122.774695,1,,,
1138,,Mason Street at Cedar Avenue,,48.035382,-122.77167,1,,,
1139,,Cedar Street north of Jefferson County Library,,48.033208,-122.77153,1,,,
1140,,Highway 116 at Ferinos Pizza,,48.032276,-122.762754,1,,,
1141,,Port Hadlock Post Office (Matheson Street) opposite,,48.03355642,-122.7586716,1,,,
1142,,Port Hadlock QFC Chimacum Rd at Ness' Corner,,48.0321071835939,-122.757995724678,1,,,
1143,,Chimacum Road across from Church Lane,,48.027792,-122.762969,1,,,
1144,,Chimacum Road at Pomwell Road (County Jail),,48.024247,-122.765962,1,,,
1145,,Chimacum Road at Old Hadlock Road (across from Redeemer Church),,48.019705,-122.76799,1,,,
1146,,Highway 19 and Center Rd (across from Bills Garage),,48.011473,-122.76902,1,,,
1149,,Highway 19 at Ness Corner Road,,48.029944,-122.780907,1,,,
1151,,Highway 19 at Shold Business Park,,48.04024245,-122.7859792,1,,,
1152,,Highway 19 at Irondale Road (McCrories),,48.041781,-122.789276,1,,,
1158,,Sims Way at Jiffy Lube,,48.103111,-122.799672,1,,,
1163,,Highway 19 at Irondale Road,,48.04158,-122.78846,1,,,
1164,,Highway 19 south of Irondale Road,(southbound),48.041057,-122.788095,1,,,
1165,,Highway 19 at Kennedy Road,,48.035432,-122.783847,1,,,
1166,,Highway 19 at Fiesta Jalisco,,48.030791,-122.781572,1,,,
1167,,H.J. Carroll Park,,48.01842,-122.775757,1,,,
1168,,Highway 19 at West Valley Road (Chimacum Schools),,48.013303,-122.776712,1,,,
1169,,Chimacum Road at Highway 19 (Chimacum Chevron),,48.011379,-122.768462,1,,,
1170,,Chimacum Road at Redeemer Way,,48.019654,-122.767807,1,,,
1171,,Chimacum Road at Elkins Road (County Jail),,48.024319,-122.765704,1,,,
1174,,Hadlock Post Office on Matheson Street,,48.033632,-122.758763,1,,,
1177,,7th Avenue at Patison Road,,48.040404,-122.780542,1,,,
1178,,5th Avenue at Irondale Road (Irondale Church),,48.042326,-122.775532,1,,,
1182,,Highway 20 at Martin Road,,48.063784,-122.819939,1,,,
1184,,Highway 19 at Airport Road,,48.056785,-122.805272,1,,,
1186,,Cedar Street at Hayden Street,,48.038374,-122.771423,1,,,
1188,,Irondale Road at Maple Street,,48.039141,-122.767249,1,,,
1189,,Highway 116 across from Ferinos Pizza,,48.032426,-122.762893,1,,,
1190,,SR 116 (Ness Corner Road across from Chimacum Creek),,48.031501,-122.774395,1,,,
1191,,Center Road at Hwy 19 (SB just past Bills Garage),,48.011099,-122.768719,1,,,
1192,,Center Road at Egg and I Road,,47.955128,-122.784276,1,,,
1193,,Center Road at Eaglemount Road (Center),,47.94036,-122.793728,1,,,
1194,,Center Road at Highway 104,,47.923144,-122.811967,1,,,
1195,,Center Road at Keesling Road (Olympic Music Festival Grounds),,47.920167,-122.820615,1,,,
1196,,Center Road at Dabob Road (Milepost 7.67),,47.915587,-122.826086,1,,,
1197,,Center Road at Tarboo Lake Road,,47.888111,-122.833886,1,,,
1198,,Center Road at Zion View Lane,,47.876455,-122.833189,1,,,
1199,,Center Road at Dabob Road (Milepost 11.9),,47.864925,-122.844508,1,,,
1200,,Center Road at Milepost 13.8,,47.837818,-122.864463,1,,,
1201,,Center Road at Brush Plant Road (Quilcene),,47.83043,-122.874419,1,,,
1202,,Center Road at Columbia Street (Quilcene),,47.827851,-122.875589,1,,,
1203,,Highway 101 at Center Road (West side of Highway 101),,47.824357,-122.875847,1,,,
1204,,Highway 101 at E. Rose Street (South side of Quilcene School),,47.822736,-122.87487,1,,,
1205,,Highway 101 at Quilcene Community Center,,47.821468,-122.878786,1,,,
1206,,Highway 101 at Deema Smakman Road,,47.819675,-122.893152,1,,,
1207,,Highway 101 at Milepost 296 (North of Quilcene Fish Hatchery,,47.813255,-122.907947,1,,,
1209,,Highway 101 at Rocky Brook Road (Mt. Walker),,47.75368,-122.892798,1,,,
1210,,Highway 101 at Tog Road,,47.731884,-122.883968,1,,,
1211,,Highway 101 at Seal Rock Road,,47.722625,-122.885374,1,,,
1213,,Schoolhouse Lane (Brinnon School),,47.696317,-122.902937,1,,,
1214,,Brinnon Lane (Halfway House Restaurant),,47.693501,-122.898216,1,,,
1215,,Highway 101 at Milepost 307 (Dosewallips Campground),,47.685398,-122.900158,1,,,
1216,,Highway 101 at Black Point Road,,47.657865,-122.924727,1,,,
