route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
2,mtwtf,SE_day_T01,Mt View Connector,0,,rt2
2,mtwtf,SE_day_T02,Mt View Connector,0,,rt2
2,mtwtfs,SE_mf_T01,Mt View Connector,0,,rt2
2,mtwtfs,SE_mf_T02,Mt View Connector,0,,rt2
2,mtwtfs,SE_mf_T03,Mt View Connector,0,,rt2
2,mtwtfs,SE_mf_T04,Mt View Connector,0,,rt2
2,mtwtfs,SE_mf_T05,Mt View Connector,0,,rt2
2,mtwtfs,SE_mf_T06,Mt View Connector,0,,rt2
2,mtwtfs,SE_mf_T07,Mt View Connector,0,,rt2
2,mtwtfs,SE_mf_T08,Mt View Connector,0,,rt2
2,mtwtfs,SE_mf_T09,Mt View Connector,0,,rt2
2,mtwtfs,SE_mf_T10,Mt View Connector,0,,rt2
1,mtwtf,R1a_T01,Tri-Area/Brinnon,0,,1Brinnon
1,mtwtf,R1a_T03,Tri-Area/Brinnon,0,,1Brinnon
1,mtwtf,R1a_T04,Tri-Area/Brinnon,0,,1Brinnon
1,mtwtf,R1b_T01,Tri-Area / Port Townsend,1,,1PT
1,mtwtf,R1b_T02,Tri-Area / Port Townsend,1,,1PT
1,mtwtf,R1b_T03,Tri-Area / Port Townsend,1,,1PT
1,mtwtf,R1b_T04,Tri-Area / Port Townsend,1,,1PT
1,mtwtf,R1g_T01,Tri-Area/Brinnon,0,,1_Brinnon
1,sat,R1e_T01,Tri-Area/Brinnon,0,,1_Brinnon
1,sat,R1e_T02,Tri-Area/Brinnon,0,,1_Brinnon
1,sat,R1f_T01,Tri-Area / Pt Townsend,1,,1_PT_SAT
1,sat,R1f_T02,Tri-Area / Pt Townsend,1,,1_PT_SAT
8,mtwtf,R8a_T01,Sequim,0,,8Sequim
8,mtwtf,R8a_T02,Sequim,0,,8Sequim
8,mtwtf,R8a_T03,Sequim,0,,8Sequim
8,mtwtf,R8a_T04,Sequim,0,,8Sequim
8,mtwtf,R8a_T05,Sequim,0,,8Sequim
8,sat,R8c_T01,Sequim,0,,8Sequim+Loop
8,sat,R8c_T02,Sequim,0,,8Sequim
8,mtwtf,R8b_T01,Port Townsend,1,,8PT
8,mtwtf,R8b_T02,Port Townsend,1,,8PT
8,mtwtf,R8b_T03,Port Townsend,1,,8PT
8,mtwtf,R8b_T04,Port Townsend,1,,8PT
8,mtwtf,R8b_T05,Port Townsend,1,,8PT
8,sat,R8d_T01,Port Townsend,1,,8PT
8,sat,R8d_T02,Port Townsend,1,,8PT
6A,mtwtf,R6Aa_T01,Tri-Area Loop A,0,,6A++
6A,mtwtf,R6Aa_T02,Tri-Area Loop A,0,,6A++
6A,mtwtf,R6Aa_T03,Tri-Area Loop A,0,,6A++
6A,mtwtf,R6Aa_T04,Tri-Area Loop A,0,,6A++
6A,mtwtf,R6Aa_T05,Tri-Area Loop A,0,,6A++
6A,mtwtf,R6Aa_070813_T01,Tri-Area Loop A,0,,6A++
6A,sat,R6Ab_sat_T01,Tri-Area Loop A,0,,6A++
6A,sat,R6Ab_sat_T02,,0,,6A++
6B,mtwtf,6B_a_T01,Tri-Area Loop B,0,,6B
