block_seq_num,block_var_num,block_route_num,block_run_num
3927501-1,1,550,18
3923151-1,1,3,9
3923150-1,1,3,8
3923149-1,1,3,7
3923148-1,1,3,6
3923147-1,1,3,5
3923146-1,1,3,4
3923145-1,1,3,3
3923144-1,1,3,2
3923143-1,1,3,1
3923142-1,1,7,14
3923141-1,1,7,13
3923140-1,1,7,12
3923139-1,1,7,11
3923138-1,1,7,10
3923137-1,1,7,9
3923136-1,1,7,8
3923135-1,1,7,7
3923134-1,1,7,6
3923133-1,1,7,5
3923132-1,1,7,4
3923131-1,1,7,3
3923130-1,1,7,2
3923129-1,1,7,1
3923128-1,1,47,1
3923127-1,1,10,1
3923126-1,1,10,4
3923125-1,1,10,3
3923124-1,1,10,2
3923123-1,1,1,5
3923122-1,1,120,1
3923121-1,1,120,7
3923120-1,1,120,6
3923119-1,1,120,5
3923118-1,1,120,4
3923117-1,1,120,3
3923116-1,1,120,2
3923115-1,1,36,9
3923114-1,1,36,8
3923113-1,1,43,9
3923112-1,1,12,1
3923111-1,1,12,2
3923110-1,1,36,7
3923109-1,1,36,6
3923108-1,1,36,5
3923107-1,1,36,4
3923106-1,1,36,3
3923105-1,1,36,2
3923104-1,1,36,1
3923103-1,1,1,1
3923102-1,1,1,4
3923101-1,1,1,3
3923100-1,1,1,2
3923099-1,1,43,10
3923098-1,1,43,8
3923097-1,1,43,7
3923096-1,1,43,6
3923095-1,1,43,5
3923094-1,1,43,4
3923093-1,1,43,3
3923092-1,1,43,2
3923091-1,1,43,1
3923090-1,1,2,2
3923089-1,1,2,3
3923088-1,1,2,4
3923087-1,1,2,1
3923012-1,1,3,1
3923011-1,1,3,8
3923010-1,1,3,7
3923009-1,1,3,6
3923008-1,1,3,5
3923007-1,1,3,4
3923006-1,1,3,3
3923005-1,1,3,2
3923004-1,1,43,15
3923003-1,1,43,14
3923002-1,1,43,13
3923001-1,1,43,12
3922700-1,1,43,11
3922699-1,1,43,10
3922698-1,1,43,9
3922697-1,1,43,8
3922696-1,1,43,7
3922695-1,1,43,6
3922694-1,1,43,5
3922693-1,1,43,4
3922692-1,1,43,3
3922691-1,1,43,2
3922690-1,1,43,1
3922689-1,1,43,16
3922688-1,1,47,1
3922687-1,1,10,1
3922686-1,1,10,4
3922685-1,1,10,3
3922684-1,1,10,2
3922683-1,1,7,18
3922682-1,1,7,17
3922681-1,1,7,16
3922680-1,1,7,15
3922679-1,1,7,14
3922678-1,1,7,13
3922677-1,1,7,12
3922676-1,1,7,11
3922675-1,1,7,10
3922674-1,1,7,9
3922673-1,1,7,8
3922672-1,1,7,7
3922671-1,1,7,6
3922670-1,1,7,5
3922669-1,1,7,4
3922668-1,1,7,3
3922667-1,1,7,2
3922666-1,1,7,1
3922665-1,1,2,9
3922664-1,1,2,8
3922663-1,1,2,7
3922662-1,1,2,6
3922661-1,1,2,5
3922660-1,1,2,4
3922659-1,1,2,3
3922658-1,1,2,2
3922657-1,1,2,1
3922656-1,1,1,4
3922655-1,1,1,2
3922654-1,1,1,3
3922653-1,1,1,5
3922652-1,1,1,1
3922651-1,1,70,6
3922650-1,1,70,5
3922649-1,1,70,4
3922648-1,1,70,3
3922647-1,1,70,2
3922646-1,1,70,1
3922645-1,1,36,13
3922644-1,1,36,12
3922643-1,1,36,11
3922642-1,1,36,9
