service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
84199,0,1,1,1,0,0,0,20150604,20150925
82348,0,1,1,1,0,0,0,20150608,20150925
69129,0,1,1,1,0,0,0,20150604,20150924
31942,1,1,1,1,0,0,0,20150622,20150731
28630,0,0,0,0,0,0,0,20150608,20150925
23982,0,0,0,0,0,0,0,20150608,20150925
21510,0,0,0,0,0,0,0,20150608,20150925
21216,0,0,0,0,0,0,0,20150608,20150925
20104,0,0,0,0,0,0,0,20150608,20150925
19547,0,0,0,0,0,0,0,20150608,20150925
18235,0,0,0,0,0,0,0,20150608,20150925
17975,0,0,0,0,0,0,0,20150608,20150925
17944,0,0,0,0,0,0,1,20150607,20150920
16506,0,1,1,1,1,0,0,20150901,20150925
15070,0,0,0,0,0,0,0,20150605,20150925
14226,0,0,0,0,0,0,0,20150608,20150925
14001,0,0,0,0,0,1,0,20150606,20150919
5747,0,0,0,0,0,0,0,20150610,20150923
5641,0,0,0,0,0,0,0,20150610,20150923
4710,1,1,1,1,1,0,0,20150608,20150612
3899,0,0,0,0,0,0,0,20150610,20150923
1851,0,0,0,1,1,0,0,20150604,20150605
1422,0,1,1,0,0,0,0,20150616,20150617
1373,1,0,0,0,0,0,0,20150622,20150622
