route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
100239,1851,29351681,"SEATTLE ","EXPRESS",1,3927501-1,30550527
100447,14001,29150101,"TO ROUTE 49 VIA BROADWAY","LOCAL",0,3922672-1,11049016
100447,14001,29150100,"TO ROUTE 49 VIA BROADWAY","LOCAL",0,3922669-1,11049016
100263,14001,29135136,"S JACKSON ST ","LOCAL",1,3922670-1,10007048
102628,82348,29086553,"ARDMORE PARK ","EXPRESS",0,3899602-1,21895003
102555,82348,29086549,"FORBES CREEK ","LOCAL",0,3891615-1,11893001
100263,14001,29062895,"PRENTICE ST VIA RAINIER AVE S","LOCAL",0,3922682-1,21007005
100263,14001,29062893,"PRENTICE ST VIA RAINIER AVE S","LOCAL",0,3922667-1,21007005
100263,14001,29062892,"PRENTICE ST VIA RAINIER AVE S","LOCAL",0,3922675-1,21007005
102628,5641,29011965,"ARDMORE PARK ","EXPRESS",0,3891618-1,21895003
100287,3899,29011939,"W MERCER ISLAND ","LOCAL",0,3891619-1,21891004
100288,3899,29011938,"N MERCER ISLAND ","LOCAL",0,3891620-1,11892004
102623,3899,29011937,"MERCER VILLAGE SHOPPING CENTER ISLAND CREST WAY","LOCAL",0,3891621-1,21894002
102623,1422,29011930,"MERCER VILLAGE SHOPPING CENTER ISLAND CREST WAY","LOCAL",0,3891611-1,21894002
100287,1422,29011929,"W MERCER ISLAND ","LOCAL",0,3891609-1,21891004
100288,1422,29011928,"N MERCER ISLAND ","LOCAL",0,3891610-1,11892004
102555,5641,29011927,"FORBES CREEK ","LOCAL",0,3899601-1,11893001
100508,5747,29011926,"COUGAR MOUNTAIN NEWPORT HS","LOCAL",1,3891613-1,20823005
100508,1373,29011925,"COUGAR MOUNTAIN NEWPORT HS","LOCAL",1,3891602-1,20823005
100284,5747,29011924,"VASA PARK INTERLAKE HS","LOCAL",0,3891612-1,21888027
100284,1373,29011923,"VASA PARK INTERLAKE HS","LOCAL",0,3891603-1,21888027
102573,5747,29011918,"NEWPORT HILLS NEWPORT HS","LOCAL",0,3891614-1,21887004
100509,5747,29011917,"NEWCASTLE NEWPORT HS","LOCAL",1,3891617-1,20824005
100285,5747,29011916,"BRIDLE TRAILS SAMMAMISH HS","LOCAL",0,3891616-1,11889027
102573,1373,29011915,"NEWPORT HILLS NEWPORT HS","LOCAL",0,3891601-1,21887004
100509,1373,29011914,"NEWCASTLE NEWPORT HS","LOCAL",1,3891604-1,20824005
100285,1373,29011913,"BRIDLE TRAILS SAMMAMISH HS","LOCAL",0,3891605-1,11889027
100039,82348,28968772,"INTERNATIONAL DISTRICT CHINATOWN STATION ","LOCAL",1,3896842-1,10014602
100039,82348,28968769,"INTERNATIONAL DISTRICT CHINATOWN STATION ","LOCAL",1,3896836-1,10014602
100039,82348,28968767,"INTERNATIONAL DISTRICT CHINATOWN STATION ","LOCAL",1,3896840-1,10014602
100039,82348,28968764,"INTERNATIONAL DISTRICT CHINATOWN STATION ","LOCAL",1,3896832-1,10014602
100039,82348,28968749,"INTERNATIONAL DISTRICT CHINATOWN STATION ","LOCAL",1,3896828-1,10014602
100221,14001,28954779,"LAKE CITY NORTHGATE","LOCAL",0,3907941-1,11041231
100221,14001,28954714,"LAKE CITY NORTHGATE","LOCAL",0,3907933-1,11041231
100221,14001,28954713,"LAKE CITY NORTHGATE","LOCAL",0,3907936-1,11041231
100221,14001,28954530,"LAKE CITY NORTHGATE","LOCAL",0,3907937-1,11041233
100221,17944,28953249,"LAKE CITY NORTHGATE","LOCAL",0,3908051-1,11041235
100221,17944,28953241,"LAKE CITY NORTHGATE","LOCAL",0,3908048-1,11041235
100187,82348,28935679,"DOWNTOWN SEATTLE ","EXPRESS",1,3900371-1,20312048
100187,82348,28935676,"KENMORE ","EXPRESS",0,3900374-1,11312075
100187,82348,28935675,"KENMORE ","EXPRESS",0,3900373-1,11312075
100187,82348,28935674,"DOWNTOWN SEATTLE ","EXPRESS",1,3900372-1,20312048
100267,82348,28880860,"JACKSON PARK ","EXPRESS",0,3900368-1,11073325
100190,82348,28880859,"MERIDIAN PARK GREEN LAKE","LOCAL",0,3900342-1,11316012
100221,82348,28880855,"NORTHGATE NORTHEAST 125TH ONLY","LOCAL",0,3900336-1,11041223
100270,82348,28880853,"WEDGWOOD VIA I-5/NE 65 ST","LOCAL",0,3900315-1,11076019
100221,82348,28880852,"NORTHGATE NORTHEAST 125TH ONLY","LOCAL",0,3900384-1,11041240
100221,82348,28880851,"NORTHGATE NORTHEAST 125TH ONLY","LOCAL",0,3900327-1,11041223
100265,82348,28880820,"WEDGWOOD UNIVERSITY DISTRICT","EXPRESS",0,3900312-1,11071645
100265,82348,28880810,"WEDGWOOD UNIVERSITY DISTRICT","EXPRESS",0,3900329-1,11071643
100270,82348,28880791,"WEDGWOOD VIA I-5/NE 65 ST","LOCAL",0,3900378-1,11076018
100267,82348,28880788,"JACKSON PARK ","EXPRESS",0,3900306-1,11073325
100266,82348,28880783,"LAKE CITY UNIVERSITY DISTRICT","EXPRESS",0,3900335-1,11072282
100268,82348,28880780,"SAND POINT UNIVERSITY EXPRESS","EXPRESS",0,3900376-1,11074131
100266,82348,28880779,"LAKE CITY UNIVERSITY DISTRICT","EXPRESS",0,3900324-1,11072282
100271,82348,28880775,"NORTH CITY MAPLE LEAF","EXPRESS",0,3900381-1,11077042
100221,82348,28880768,"NORTHGATE NORTHEAST 125TH ONLY","LOCAL",0,3900345-1,11041223
100221,82348,28880767,"NORTHGATE NORTHEAST 125TH ONLY","LOCAL",0,3900378-1,11041223
100221,82348,28880766,"NORTHGATE NORTHEAST 125TH ONLY","LOCAL",0,3900325-1,11041223
100221,82348,28880765,"NORTHGATE NORTHEAST 125TH ONLY","LOCAL",0,3900362-1,11041223
100221,82348,28880763,"NORTHGATE NORTHEAST 125TH ONLY","LOCAL",0,3900379-1,11041243
100221,82348,28880762,"LAKE CITY NORTHGATE","LOCAL",0,3900326-1,11041237
100221,82348,28880759,"LAKE CITY NORTHGATE","LOCAL",0,3900389-1,11041235
100221,82348,28880754,"LAKE CITY NORTHGATE","LOCAL",0,3900338-1,11041235
100267,82348,28880736,"JACKSON PARK ","EXPRESS",0,3900328-1,11073323
100266,82348,28880718,"LAKE CITY UNIVERSITY DISTRICT","LOCAL",0,3900362-1,11072267
100266,82348,28880717,"LAKE CITY UNIVERSITY DISTRICT","EXPRESS",0,3900352-1,11072283
100266,82348,28880697,"LAKE CITY UNIVERSITY DISTRICT","EXPRESS",0,3900366-1,11072282
100267,82348,28880679,"JACKSON PARK ","EXPRESS",0,3900212-1,11073323
100190,82348,28880671,"MERIDIAN PARK GREEN LAKE","LOCAL",0,3900310-1,11316013
100221,82348,28880667,"LAKE CITY NORTHGATE","LOCAL",0,3900352-1,11041234
