fare_id,route_id,origin_id,destination_id,contains_id
795,1058,,,
795,1063,,,
793,,487,487,
793,,488,488,
793,,507,507,
793,,508,508,
793,,510,510,
793,,511,511,
793,,512,512,
793,,487,507,
793,,507,487,
793,,487,512,
793,,512,487,
793,,487,508,
793,,508,487,
793,,488,508,
793,,508,488,
793,,488,512,
793,,512,488,
793,,511,507,
793,,507,511,
793,,510,508,
793,,508,510,
793,,509,512,
793,,512,509,
794,,511,487,
794,,487,511,
794,,509,487,
794,,487,509,
794,,487,508,
794,,508,487,
794,,488,487,
794,,487,488,
