trip_id,start_time,end_time,headway_secs,exact_times
37785A748B2475,06:16:00,18:20:59,3600,1
37786A748B2475,06:46:00,18:50:59,3600,1
37792A748B2475,05:00:00,07:05:59,1800,1
37792A748B2475,08:00:00,14:05:59,3600,1
37792A748B2475,15:10:00,18:15:59,3600,1
37933A748B2475,09:00:00,15:05:59,3600,1
37933A748B2475,06:00:00,08:05:59,1800,1
37932A749B2475,14:00:00,16:05:59,7200,1
37933A748B2475,15:10:00,19:15:59,3600,1
37935A749B2475,08:00:00,12:00:59,7200,1
37935A749B2475,15:00:00,17:05:59,7200,1
37928A748B2475,16:40:00,17:35:59,3000,1
37932A749B2475,07:00:00,11:05:59,7200,1
54504A748B2475,10:30:00,11:35:59,3600,1
37801A748B2475,09:30:00,12:35:59,10800,1
37801A748B2475,15:00:00,17:45:59,9600,1
37940A748B2475,10:45:00,13:50:59,10800,1
37793A748B2475,10:25:00,14:30:59,7200,1
37964A749B2475,08:25:00,10:30:59,7200,1
37964A749B2475,14:25:00,16:30:59,7200,1
37794A748B2475,10:00:00,14:05:59,7200,1
37965A749B2475,14:00:00,16:05:59,7200,1
37965A749B2475,08:00:00,10:05:59,7200,1
37982A748B2475,17:05:00,17:45:59,2100,1
37979A748B2475,06:30:00,07:05:59,1800,1
37980A748B2475,07:55:00,08:40:59,2400,1
37981A748B2475,12:55:00,15:00:59,7200,1
37984A748B2475,18:10:00,18:45:59,1800,1
38003A748B2475,16:45:00,17:20:59,1800,1
37999A749B2475,06:30:00,12:35:59,10800,1
38007A749B2475,11:00:00,14:05:59,10800,1
38016A748B2475,17:40:00,18:45:59,3600,1
57245A749B2475,06:30:00,12:35:59,10800,1
57244A749B2475,06:30:00,12:35:59,10800,1
57247A749B2475,11:00:00,14:05:59,10800,1
57248A749B2475,11:00:00,14:05:59,10800,1
57249A749B2475,11:00:00,14:05:59,10800,1
57250A748B2475,06:30:00,07:05:59,1800,1
57251A748B2475,07:55:00,08:40:59,2400,1
57252A748B2475,12:55:00,15:00:59,7200,1
57253A748B2475,12:55:00,15:00:59,7200,1
57260A749B2475,14:00:00,16:05:59,7200,1
57255A748B2475,17:05:00,17:45:59,2100,1
57256A748B2475,17:05:00,17:45:59,2100,1
57257A748B2475,10:30:00,11:35:59,3600,1
57258A748B2475,16:45:00,17:20:59,1800,1
57260A749B2475,07:00:00,11:05:59,7200,1
