agency_id,route_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
176,1054,1,,,3,http://www.linktransit.com/route-1,,
176,1055,5,,,3,http://www.linktransit.com/route-5,,
176,1056,7,,,3,http://www.linktransit.com/route-7,,
176,1057,8W,Wenatchee to East Wenatchee,,3,http://www.linktransit.com/route-8w2,,
176,1058,9,Wenatchee Trolley,,3,http://www.linktransit.com/route-9,,
176,1059,40,Ski Link,,3,http://www.linktransit.com/services-programs/skilink,,
176,1060,8E,East Wenatchee to Wenatchee,,3,http://www.linktransit.com/route-8e,,
176,1061,11,,,3,http://www.linktransit.com/route-11,,
176,1062,12,,,3,http://www.linktransit.com/route-12,,
176,1063,19,East Wenatchee Trolley,,3,http://www.linktransit.com/route-19,,
176,1064,23,,,3,http://www.linktransit.com/route-23,,
176,1065,25,,,3,http://www.linktransit.com/route-25,,
176,1066,20,,,3,http://www.linktransit.com/route-20-200,,
176,1067,21,,,3,http://www.linktransit.com/route-21-210,,
176,1068,22,,,3,,,
176,1070,24,,,3,http://www.linktransit.com/route-24,,
176,1072,26,,,3,http://www.linktransit.com/route-26,,
176,1075,28,,,3,http://www.linktransit.com/route-28,,
