route_id,service_id,trip_id,trip_short_name,trip_headsign,direction_id,block_id,shape_id,trip_bikes_allowed,bikes_allowed
1063,749A2475,53552A749B2475,,,,2096,0,2,2
1059,1398A2522,87813A1398B2522,,,0,,1,2,2
1067,748A2475,54505A748B2475,,,1,,2,2,2
1067,749A2475,38007A749B2475,,,0,,3,2,2
1063,749A2475,53550A749B2475,,,,2096,4,2,2
1058,749A2475,53333A749B2475,,,,2087,5,2,2
1058,748A2475,53468A748B2475,,,,2085,5,2,2
1058,749A2475,53335A749B2475,,,,2087,5,2,2
1068,748A2475,38016A748B2475,,,0,,6,2,2
1057,748A2475,53263A748B2475,,,,2082,7,2,2
1058,749A2475,53324A749B2475,,,,2087,5,2,2
1058,748A2475,53311A748B2475,,,,2086,5,2,2
1059,1398A2520,87813A1398B2520,,,0,,1,2,2
1063,748A2475,53506A748B2475,,,,2092,4,2,2
1067,749A2475,37999A749B2475,,,1,,2,2,2
1055,748A2475,53406A748B2475,,,,2077,8,2,2
1059,1398A2521,87817A1398B2521,,,0,,1,2,2
1075,748A2475,37802A748B2475,,,,,9,2,2
1065,748A2475,54436A748B2475,,,1,2099,10,2,2
1054,749A2475,53139A749B2475,,,,,11,2,2
1055,749A2475,53184A749B2475,,,,2079,8,2,2
1075,749A2475,54519A749B2475,,,,2103,9,2,2
1059,1398A2522,87812A1398B2522,,,0,,1,2,2
1063,748A2475,53519A748B2475,,,,2092,4,2,2
1056,748A2475,53428A748B2475,,,,2080,12,2,2
1059,1398A2520,87812A1398B2520,,,0,,1,2,2
1058,749A2475,53329A749B2475,,,,2087,5,2,2
1056,749A2475,53232A749B2475,,,,2081,12,2,2
1059,1398A2521,87816A1398B2521,,,0,,13,2,2
1054,749A2475,53138A749B2475,,,,,11,2,2
1063,748A2475,53499A748B2475,,,,2092,4,2,2
1060,748A2475,46841A748B2475,,,,2057,14,2,2
1075,748A2475,54515A748B2475,,,,2102,9,2,2
1064,748A2475,53611A748B2475,,,1,2098,15,2,2
1064,748A2475,54408A748B2475,,,0,2098,16,2,2
1058,748A2475,53459A748B2475,,,,2085,5,2,2
1066,748A2475,37975A748B2475,,,0,,17,2,2
1063,749A2475,53560A749B2475,,,,2096,4,2,2
1058,748A2475,53314A748B2475,,,,2086,5,2,2
1064,748A2475,53639A748B2475,,,1,2098,15,2,2
1057,748A2475,53262A748B2475,,,,2082,7,2,2
1067,749A2475,57245A749B2475,,,1,,2,2,2
1056,748A2475,53423A748B2475,,,,2080,12,2,2
1056,749A2475,53249A749B2475,,,,2081,12,2,2
1063,748A2475,53498A748B2475,,,,2092,4,2,2
1060,749A2475,53356A749B2475,,,,2090,14,2,2
1064,748A2475,53610A748B2475,,,1,2098,15,2,2
1058,748A2475,53313A748B2475,,,,2086,5,2,2
1059,753A2518,37952A753B2518,,,0,,13,2,2
1056,748A2475,53197A748B2475,,,,2080,12,2,2
1055,748A2475,53404A748B2475,,,,2077,8,2,2
1066,748A2475,37788A748B2475,,,0,,17,2,2
1054,749A2475,53132A749B2475,,,,,11,2,2
1057,748A2475,53445A748B2475,,,,2094,7,2,2
1059,753A2518,37961A753B2518,,,0,,1,2,2
1075,749A2475,54516A749B2475,,,,2103,9,2,2
1059,753A2518,37958A753B2518,,,1,,18,2,2
1060,748A2475,46827A748B2475,,,,2057,14,2,2
1075,748A2475,38008A748B2475,,,,,19,2,2
1058,749A2475,53336A749B2475,,,,2087,5,2,2
1067,749A2475,57244A749B2475,,,1,,2,2,2
1067,748A2475,57251A748B2475,,,0,,3,2,2
1063,748A2475,53517A748B2475,,,,2092,4,2,2
1055,748A2475,53407A748B2475,,,,2077,8,2,2
1058,748A2475,53462A748B2475,,,,2085,5,2,2
1057,749A2475,53283A749B2475,,,,2083,7,2,2
1057,748A2475,53257A748B2475,,,,2082,7,2,2
1056,748A2475,53431A748B2475,,,,2080,12,2,2
1059,1398A2521,87811A1398B2521,,,1,,18,2,2
1060,748A2475,53484A748B2475,,,,2095,14,2,2
1059,1398A2520,87815A1398B2520,,,0,,20,2,2
1060,749A2475,46462A749B2475,,,,2090,14,2,2
1067,749A2475,57246A749B2475,,,1,,2,2,2
1064,748A2475,54407A748B2475,,,0,2098,16,2,2
1063,749A2475,53561A749B2475,,,,2096,4,2,2
1067,748A2475,57255A748B2475,,,0,,3,2,2
1057,748A2475,53450A748B2475,,,,2094,7,2,2
1057,748A2475,53254A748B2475,,,,2082,7,2,2
1059,1398A2522,87815A1398B2522,,,0,,20,2,2
1063,748A2475,53523A748B2475,,,,2093,4,2,2
1054,749A2475,53131A749B2475,,,,,11,2,2
1055,748A2475,53153A748B2475,,,,2077,8,2,2
1059,1398A2522,87814A1398B2522,,,0,,20,2,2
1058,748A2475,57240A748B2475,,,,2085,5,2,2
1058,748A2475,53317A748B2475,,,,2086,5,2,2
1075,748A2475,54512A748B2475,,,,2102,9,2,2
1058,748A2475,53473A748B2475,,,,2085,5,2,2
1067,748A2475,38002A748B2475,,,1,,2,2,2
1067,748A2475,37789A748B2475,,,1,,21,2,2
1059,1398A2520,87814A1398B2520,,,0,,20,2,2
1058,748A2475,53464A748B2475,,,,2085,5,2,2
1057,748A2475,53261A748B2475,,,,2082,7,2,2
1058,749A2475,53327A749B2475,,,,2087,5,2,2
1063,749A2475,53562A749B2475,,,,2096,4,2,2
1067,748A2475,57252A748B2475,,,0,,3,2,2
1059,1398A2521,87808A1398B2521,,,1,,18,2,2
1063,748A2475,53531A748B2475,,,,2093,4,2,2
1075,748A2475,54520A748B2475,,,,2102,9,2,2
1060,748A2475,46838A748B2475,,,,2057,14,2,2
1056,749A2475,53236A749B2475,,,,2081,12,2,2
1058,749A2475,53326A749B2475,,,,2087,5,2,2
1060,748A2475,53493A748B2475,,,,2095,14,2,2
1056,748A2475,37780A748B2475,,,,2080,12,2,2
1059,1398A2522,87809A1398B2522,,,1,,22,2,2
1064,748A2475,53612A748B2475,,,1,2098,15,2,2
1063,749A2475,39273A749B2475,,,,2096,23,2,2
1068,748A2475,37933A748B2475,,,0,,6,2,2
1063,748A2475,37782A748B2475,,,,2092,4,2,2
1059,753A2518,37960A753B2518,,,0,,20,2,2
1057,749A2475,53287A749B2475,,,,2083,7,2,2
1059,1398A2520,87809A1398B2520,,,1,,22,2,2
1067,748A2475,38003A748B2475,,,1,,2,2,2
1058,748A2475,53470A748B2475,,,,2085,5,2,2
1068,749A2475,57260A749B2475,,,1,,24,2,2
1063,748A2475,53529A748B2475,,,,2093,4,2,2
1072,748A2475,37940A748B2475,,,0,,25,2,2
1060,748A2475,53479A748B2475,,,,2095,14,2,2
1058,748A2475,53460A748B2475,,,,2085,5,2,2
1056,748A2475,53194A748B2475,,,,2080,12,2,2
1063,748A2475,53497A748B2475,,,,2092,4,2,2
1056,749A2475,53228A749B2475,,,,2081,12,2,2
1063,749A2475,53553A749B2475,,,,2096,4,2,2
1057,749A2475,53285A749B2475,,,,2083,7,2,2
1064,748A2475,37793A748B2475,,,0,,16,2,2
1063,748A2475,53530A748B2475,,,,2093,4,2,2
1075,748A2475,54513A748B2475,,,,2102,9,2,2
1066,748A2475,37971A748B2475,,,1,,26,2,2
1054,749A2475,53134A749B2475,,,,,11,2,2
1055,749A2475,53182A749B2475,,,,2079,8,2,2
1055,749A2475,53175A749B2475,,,,2079,8,2,2
1058,748A2475,53465A748B2475,,,,2085,5,2,2
1067,749A2475,57248A749B2475,,,0,,3,2,2
1063,748A2475,53510A748B2475,,,,2092,4,2,2
1063,748A2475,53514A748B2475,,,,2092,4,2,2
1063,748A2475,53503A748B2475,,,,2092,4,2,2
1057,749A2475,53275A749B2475,,,,2083,7,2,2
1059,753A2518,37950A753B2518,,,0,,1,2,2
1063,749A2475,53556A749B2475,,,,2096,4,2,2
1055,749A2475,53178A749B2475,,,,2079,8,2,2
1065,748A2475,54461A748B2475,,,0,2099,27,2,2
1056,748A2475,53203A748B2475,,,,2080,12,2,2
1070,748A2475,54510A748B2475,,,0,2101,28,2,2
1063,748A2475,53508A748B2475,,,,2092,4,2,2
1063,748A2475,53534A748B2475,,,,2093,4,2,2
1056,748A2475,53427A748B2475,,,,2080,12,2,2
1072,748A2475,37942A748B2475,,,0,,29,2,2
1058,748A2475,37781A748B2475,,,,2085,5,2,2
1060,749A2475,46460A749B2475,,,,2090,14,2,2
1066,748A2475,37973A748B2475,,,1,,26,2,2
1067,748A2475,37790A748B2475,,,0,,3,2,2
