shape_id,shape_pt_sequence,shape_pt_lat,shape_pt_lon
15JUNE-100413,10001,47.243482,-122.525911
15JUNE-100413,10002,47.242990,-122.525883
15JUNE-100413,10003,47.242994,-122.525465
15JUNE-100413,10004,47.243803,-122.525493
15JUNE-100413,10005,47.243797,-122.525929
15JUNE-100413,10006,47.243792,-122.526325
15JUNE-100413,10007,47.245034,-122.526325
15JUNE-100413,10008,47.246054,-122.526325
15JUNE-100413,10009,47.246714,-122.526325
15JUNE-100413,10010,47.247164,-122.526315
15JUNE-100413,10011,47.247744,-122.526305
15JUNE-100413,10012,47.248202,-122.526305
15JUNE-100413,20001,47.248202,-122.526305
15JUNE-100413,20002,47.248614,-122.526305
15JUNE-100413,20003,47.249574,-122.526305
15JUNE-100413,20004,47.249904,-122.526305
15JUNE-100413,20005,47.250250,-122.526311
15JUNE-100413,30001,47.250250,-122.526311
15JUNE-100413,30002,47.251754,-122.526335
15JUNE-100413,30003,47.251993,-122.526343
15JUNE-100413,40001,47.251993,-122.526343
15JUNE-100413,40002,47.253544,-122.526395
15JUNE-100413,40003,47.255484,-122.526375
15JUNE-100413,40004,47.255484,-122.527215
15JUNE-100413,40005,47.255491,-122.528140
15JUNE-100413,50001,47.255491,-122.528140
15JUNE-100413,50002,47.255494,-122.528585
15JUNE-100413,50003,47.255504,-122.529945
15JUNE-100413,50004,47.255504,-122.531315
15JUNE-100413,50005,47.255504,-122.531695
15JUNE-100413,50006,47.255504,-122.532376
15JUNE-100413,60001,47.255504,-122.532376
15JUNE-100413,60002,47.255504,-122.532635
15JUNE-100413,60003,47.255504,-122.532695
15JUNE-100413,60004,47.255524,-122.533865
15JUNE-100413,60005,47.255524,-122.534075
15JUNE-100413,60006,47.255524,-122.534335
15JUNE-100413,60007,47.255548,-122.536429
15JUNE-100413,70001,47.255548,-122.536429
15JUNE-100413,70002,47.255554,-122.536965
15JUNE-100413,70003,47.257124,-122.537005
15JUNE-100413,70004,47.257514,-122.537025
15JUNE-100413,70005,47.257764,-122.537045
15JUNE-100413,70006,47.258084,-122.537065
15JUNE-100413,70007,47.258674,-122.537105
15JUNE-100413,70008,47.258884,-122.537125
15JUNE-100413,70009,47.259704,-122.537125
15JUNE-100413,70010,47.259714,-122.536725
15JUNE-100413,70011,47.259734,-122.536305
15JUNE-100413,70012,47.259714,-122.536035
15JUNE-100413,70013,47.259684,-122.535615
15JUNE-100413,70014,47.259664,-122.535405
15JUNE-100413,70015,47.259644,-122.535315
15JUNE-100413,70016,47.259604,-122.535215
15JUNE-100413,70017,47.259544,-122.535125
15JUNE-100413,70018,47.259474,-122.535035
15JUNE-100413,70019,47.259404,-122.534985
15JUNE-100413,70020,47.259324,-122.534955
15JUNE-100413,70021,47.259184,-122.534955
15JUNE-100413,70022,47.259104,-122.534985
15JUNE-100413,70023,47.259044,-122.535025
15JUNE-100413,70024,47.258954,-122.535145
15JUNE-100413,70025,47.258914,-122.535235
15JUNE-100413,70026,47.258864,-122.535355
15JUNE-100413,70027,47.258844,-122.535505
15JUNE-100413,70028,47.258844,-122.535715
15JUNE-100413,70029,47.258864,-122.536275
15JUNE-100413,70030,47.258884,-122.536505
15JUNE-100413,70031,47.258924,-122.536765
15JUNE-100413,70032,47.258984,-122.537125
15JUNE-100413,70033,47.259044,-122.537475
15JUNE-100413,70034,47.259104,-122.537805
15JUNE-100413,70035,47.259164,-122.538065
15JUNE-100413,70036,47.259264,-122.538475
15JUNE-100413,70037,47.259474,-122.538945
15JUNE-100413,70038,47.259724,-122.539445
15JUNE-100413,70039,47.260044,-122.539925
15JUNE-100413,70040,47.260454,-122.540495
15JUNE-100413,70041,47.261374,-122.541615
