route_id,trip_id,service_id,trip_headsign,direction_id,block_id,shape_id
500,6020495,15JUNE-SUN,Federal Way,0,7008,15JUNE-5004164
500,6020497,15JUNE-SUN,Federal Way,0,7021,15JUNE-5004164
501,6020498,15JUNE-SUN,Federal Way,0,7029,15JUNE-5014234
500,6020499,15JUNE-SUN,Federal Way,0,7008,15JUNE-5004164
500,6020500,15JUNE-SUN,Federal Way,0,7021,15JUNE-5004164
500,6020502,15JUNE-SUN,Federal Way,0,7008,15JUNE-5004164
500,6020504,15JUNE-SUN,Federal Way,0,7021,15JUNE-5004164
500,6020506,15JUNE-SUN,Federal Way,0,7036,15JUNE-5004164
500,6020507,15JUNE-SUN,Federal Way,0,7021,15JUNE-5004164
500,6020509,15JUNE-SUN,Federal Way,0,7047,15JUNE-5004164
500,6020510,15JUNE-SUN,Federal Way,0,7050,15JUNE-5004164
501,6020511,15JUNE-SUN,Federal Way,0,7049,15JUNE-5014234
500,6020512,15JUNE-SUN,Federal Way,0,7005,15JUNE-5004164
500,6020513,15JUNE-SUN,Federal Way,0,7001,15JUNE-5004164
500,6020515,15JUNE-SUN,Federal Way,0,7005,15JUNE-5004164
500,6020517,15JUNE-SUN,Federal Way,0,7001,15JUNE-5004164
2,6020518,15JUNE-SUN,Lakwd Mall,1,7001,15JUNE-257
2,6020519,15JUNE-SUN,Lakwd Mall,1,7010,15JUNE-257
41,6020520,15JUNE-SUN,72nd St,1,7020,15JUNE-415122
48,6020521,15JUNE-SUN,Lakwd Mall,1,7024,15JUNE-485169
2,6020522,15JUNE-SUN,Lakwd Mall,1,7028,15JUNE-257
42,6020523,15JUNE-SUN,72nd St,1,7034,15JUNE-425100
41,6020524,15JUNE-SUN,72nd St,1,7016,15JUNE-415122
48,6020525,15JUNE-SUN,Lakwd Mall,1,7013,15JUNE-485169
2,6020526,15JUNE-SUN,Lakwd Mall,1,7012,15JUNE-257
42,6020527,15JUNE-SUN,72nd St,1,7050,15JUNE-425100
2,6020528,15JUNE-SUN,Lakwd Mall,1,7024,15JUNE-257
48,6020529,15JUNE-SUN,Lakwd Mall,1,7054,15JUNE-485169
41,6020530,15JUNE-SUN,72nd St,1,7032,15JUNE-415122
2,6020531,15JUNE-SUN,Lakwd Mall,1,7049,15JUNE-257
42,6020532,15JUNE-SUN,72nd St,1,7016,15JUNE-425100
2,6020533,15JUNE-SUN,Lakwd Mall,1,7013,15JUNE-257
41,6020534,15JUNE-SUN,72nd St,1,7038,15JUNE-415122
48,6020535,15JUNE-SUN,Lakwd Mall,1,7005,15JUNE-485169
2,6020536,15JUNE-SUN,Lakwd Mall,1,7020,15JUNE-257
42,6020537,15JUNE-SUN,72nd St,1,7034,15JUNE-425100
2,6020539,15JUNE-SUN,Lakwd Mall,1,7032,15JUNE-257
41,6020542,15JUNE-SUN,72nd St,1,7050,15JUNE-415122
48,6020543,15JUNE-SUN,Lakwd Mall,1,7001,15JUNE-485169
2,6020545,15JUNE-SUN,Lakwd Mall,1,7048,15JUNE-257
42,6020546,15JUNE-SUN,72nd St,1,7047,15JUNE-425100
2,6020548,15JUNE-SUN,Lakwd Mall,1,7038,15JUNE-257
48,6020550,15JUNE-SUN,Lakwd Mall,1,7013,15JUNE-485169
41,6020551,15JUNE-SUN,72nd St,1,7054,15JUNE-415122
2,6020552,15JUNE-SUN,Lakwd Mall,1,7012,15JUNE-257
42,6020553,15JUNE-SUN,72nd St,1,7052,15JUNE-425100
2,6020555,15JUNE-SUN,Lakwd Mall,1,7050,15JUNE-257
41,6020557,15JUNE-SUN,72nd St,1,7005,15JUNE-415122
48,6020558,15JUNE-SUN,Lakwd Mall,1,7032,15JUNE-485169
2,6020559,15JUNE-SUN,Lakwd Mall,1,7053,15JUNE-257
42,6020560,15JUNE-SUN,72nd St,1,7004,15JUNE-425100
2,6020561,15JUNE-SUN,Lakwd Mall,1,7054,15JUNE-257
41,6020563,15JUNE-SUN,72nd St,1,7001,15JUNE-415122
48,6020564,15JUNE-SUN,Lakwd Mall,1,7028,15JUNE-485169
2,6020565,15JUNE-SUN,Lakwd Mall,1,7036,15JUNE-257
42,6020566,15JUNE-SUN,72nd St,1,7012,15JUNE-425100
2,6020567,15JUNE-SUN,Lakwd Mall,1,7010,15JUNE-257
41,6020568,15JUNE-SUN,72nd St,1,7013,15JUNE-415122
48,6020569,15JUNE-SUN,Lakwd Mall,1,7009,15JUNE-485169
2,6020570,15JUNE-SUN,Lakwd Mall,1,7020,15JUNE-257
42,6020571,15JUNE-SUN,72nd St,1,7052,15JUNE-425100
2,6020573,15JUNE-SUN,TCC,1,7001,15JUNE-259
2,6020575,15JUNE-SUN,Lakwd Mall,1,7054,15JUNE-253
2,6020577,15JUNE-SUN,Lakwd Mall,1,7053,15JUNE-253
2,6020578,15JUNE-SUN,Lakwd Mall,1,7004,15JUNE-253
11,6020579,15JUNE-SUN,Port Defiance Ferry Terminal,0,7032,15JUNE-114164
11,6020581,15JUNE-SUN,Port Defiance Ferry Terminal,0,7038,15JUNE-114164
11,6020583,15JUNE-SUN,Port Defiance Ferry Terminal,0,7050,15JUNE-114164
11,6020585,15JUNE-SUN,Port Defiance Ferry Terminal,0,7054,15JUNE-114164
11,6020587,15JUNE-SUN,Port Defiance Ferry Terminal,0,7005,15JUNE-114164
11,6020589,15JUNE-SUN,Port Defiance Ferry Terminal,0,7001,15JUNE-114164
11,6020591,15JUNE-SUN,Port Defiance Ferry Terminal,0,7013,15JUNE-114164
57,6020592,15JUNE-SUN,Tacoma Mall,1,7005,15JUNE-575112
16,6020593,15JUNE-SUN,TCC,1,7003,15JUNE-169155
57,6020594,15JUNE-SUN,Tacoma Mall,1,7048,15JUNE-575112
16,6020595,15JUNE-SUN,TCC,1,7020,15JUNE-169155
57,6020596,15JUNE-SUN,Tacoma Mall,1,7052,15JUNE-575112
16,6020598,15JUNE-SUN,TCC,1,7001,15JUNE-169155
57,6020599,15JUNE-SUN,Tacoma Mall,1,7053,15JUNE-575112
16,6020601,15JUNE-SUN,TCC,1,7010,15JUNE-169155
57,6020602,15JUNE-SUN,Tacoma Mall,1,7030,15JUNE-575112
16,6020604,15JUNE-SUN,TCC,1,7049,15JUNE-169155
57,6020605,15JUNE-SUN,Tacoma Mall,1,7008,15JUNE-575112
16,6020607,15JUNE-SUN,TCC,1,7016,15JUNE-169155
57,6020608,15JUNE-SUN,Tacoma Mall,1,7031,15JUNE-575112
16,6020610,15JUNE-SUN,TCC,1,7024,15JUNE-169155
57,6020611,15JUNE-SUN,Tacoma Mall,1,7016,15JUNE-575112
16,6020612,15JUNE-SUN,TCC,1,7005,15JUNE-169155
28,6020649,15JUNE-SUN,TCC,1,7025,15JUNE-28982
28,6020650,15JUNE-SUN,TCC,1,7025,15JUNE-28982
28,6020651,15JUNE-SUN,TCC,1,7003,15JUNE-28982
28,6020652,15JUNE-SUN,TCC,1,7025,15JUNE-28982
28,6020653,15JUNE-SUN,TCC,1,7006,15JUNE-28982
