trip_id,start_time,end_time,headway_secs,exact_times
89680A1113B2081,07:20:00,17:20:59,3600,1
58801A1114B2081,08:00:00,17:00:59,3600,1
89685A1113B2081,07:20:00,17:20:59,3600,1
58696A1113B2081,07:00:00,18:00:59,3600,1
58687A1114B2081,08:00:00,17:00:59,3600,1
58805A1113B2081,07:00:00,10:00:59,3600,1
60567A1113B2081,07:00:00,10:00:59,3600,1
58695A1113B2081,07:20:00,17:20:59,3600,1
89700A1114B2081,08:20:00,17:20:59,3600,1
60561A1114B2081,08:00:00,17:30:59,1800,1
60544A1113B2081,06:30:00,18:30:59,1800,1
