trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
60561A1114B2081,8:00:00,8:00:00,770744,1,Amtrak/Greyhound,0,0,0
60561A1114B2081,,,770577,2,Amtrak/Greyhound,0,0,0.33443865
60561A1114B2081,,,770578,3,Amtrak/Greyhound,0,0,0.53783835
60561A1114B2081,,,770579,4,Amtrak/Greyhound,0,0,0.73047142
60561A1114B2081,,,770580,5,Amtrak/Greyhound,0,0,1.05231897
60561A1114B2081,8:06:00,8:06:00,770581,6,Amtrak/Greyhound,0,0,1.36545045
60561A1114B2081,8:10:00,8:10:00,770583,7,Amtrak/Greyhound,0,0,2.22428068
60561A1114B2081,,,771526,8,Amtrak/Greyhound,0,0,2.54882448
60561A1114B2081,8:14:00,8:14:00,770567,9,Mark Morris High School,0,0,2.76244713
60561A1114B2081,,,781817,10,Mark Morris High School,0,0,3.05524906
60561A1114B2081,,,770584,11,Mark Morris High School,0,0,3.63743146
60561A1114B2081,,,770573,12,Mark Morris High School,0,0,3.9277614
60561A1114B2081,8:19:00,8:19:00,770585,13,Transit Center,0,0,4.47149138
60561A1114B2081,,,770686,14,Transit Center,0,0,4.59251921
60561A1114B2081,,,770687,15,Transit Center,0,0,4.84910038
60561A1114B2081,,,770688,16,Transit Center,0,0,5.03134121
60561A1114B2081,8:25:00,8:25:00,770744,17,Transit Center,0,0,5.44299306
60544A1113B2081,06:30:00,06:30:00,770744,1,Amtrak/Greyhound,0,0,0
60544A1113B2081,,,770577,2,Amtrak/Greyhound,0,0,0.33443865
60544A1113B2081,,,770578,3,Amtrak/Greyhound,0,0,0.53783835
60544A1113B2081,,,770579,4,Amtrak/Greyhound,0,0,0.73047142
60544A1113B2081,,,770580,5,Amtrak/Greyhound,0,0,1.05231897
60544A1113B2081,06:36:00,06:36:00,770581,6,Amtrak/Greyhound,0,0,1.36545045
60544A1113B2081,06:40:00,06:40:00,770583,7,Amtrak/Greyhound,0,0,2.22428068
60544A1113B2081,,,771526,8,Amtrak/Greyhound,0,0,2.54882448
60544A1113B2081,06:44:00,06:44:00,770567,9,Mark Morris High School,0,0,2.76244713
60544A1113B2081,,,781817,10,Mark Morris High School,0,0,3.05524906
60544A1113B2081,,,770584,11,Mark Morris High School,0,0,3.63743146
60544A1113B2081,,,770573,12,Mark Morris High School,0,0,3.9277614
60544A1113B2081,06:49:00,06:49:00,770585,13,Transit Center,0,0,4.47149138
60544A1113B2081,,,770686,14,Transit Center,0,0,4.59251921
60544A1113B2081,,,770687,15,Transit Center,0,0,4.84910038
60544A1113B2081,,,770688,16,Transit Center,0,0,5.03134121
60544A1113B2081,06:55:00,06:55:00,770744,17,Transit Center,0,0,5.44299306
89681A1113B2081,06:30:00,06:30:00,770655,1,Three Rivers Mall,0,0,0
89681A1113B2081,,,770597,2,Three Rivers Mall,0,0,0.14153902
89681A1113B2081,,,770598,3,Three Rivers Mall,0,0,0.29734818
89681A1113B2081,,,770599,4,Three Rivers Mall,0,0,0.49232926
89681A1113B2081,,,770600,5,Three Rivers Mall,0,0,0.77603154
89681A1113B2081,,,770601,6,Three Rivers Mall,0,0,0.90805972
89681A1113B2081,06:34:00,06:34:00,771470,7,Three Rivers Mall,0,0,1.23043319
89681A1113B2081,,,770641,8,Three Rivers Mall,0,0,1.31023454
89681A1113B2081,,,770603,9,Three Rivers Mall,0,0,1.58465853
89681A1113B2081,,,770604,10,Three Rivers Mall,0,0,1.72887043
89681A1113B2081,,,770605,11,Three Rivers Mall,0,0,2.40777723
89681A1113B2081,,,770607,12,Three Rivers Mall,0,0,2.76080588
89681A1113B2081,06:42:00,06:42:00,770608,13,Three Rivers Mall,0,0,3.04036494
89681A1113B2081,,,770609,14,Three Rivers Mall,0,0,3.69273891
89681A1113B2081,,,770583,15,Three Rivers Mall,0,0,3.86123569
89681A1113B2081,06:52:00,06:52:00,770568,16,Talley & Parrott,0,0,4.37142173
89681A1113B2081,,,770569,17,Talley & Parrott,0,0,4.56945643
89681A1113B2081,,,770610,18,Talley & Parrott,0,0,4.90102834
89681A1113B2081,,,770611,19,Talley & Parrott,0,0,5.10452237
89681A1113B2081,,,770612,20,Talley & Parrott,0,0,5.35583747
89681A1113B2081,,,781811,21,Talley & Parrott,0,0,5.53145823
89681A1113B2081,06:58:00,06:58:00,770614,22,Talley & Parrott,0,0,5.64358421
89681A1113B2081,,,770615,23,Talley & Parrott,0,0,5.84424444
89681A1113B2081,,,770616,24,Talley & Parrott,0,0,6.42359985
89681A1113B2081,07:01:00,07:01:00,781804,25,Amtrak/Greyhound,0,0,6.6534361
89681A1113B2081,,,770617,26,Amtrak/Greyhound,0,0,8.74326172
89681A1113B2081,07:07:00,07:07:00,770743,27,Amtrak/Greyhound,0,0,9.16366299
89681A1113B2081,,,770618,28,Amtrak/Greyhound,0,0,9.33855481
89681A1113B2081,,,770619,29,Amtrak/Greyhound,0,0,9.47923667
89681A1113B2081,,,770620,30,Amtrak/Greyhound,0,0,9.57374819
89681A1113B2081,07:10:00,07:10:00,770567,31,Amtrak/Greyhound,0,0,9.93528044
58696A1113B2081,07:00:00,07:00:00,770744,1,Lower Columbia College,0,0,0
58696A1113B2081,,,770717,2,Lower Columbia College,0,0,0.30958647
58696A1113B2081,07:04:00,07:04:00,770718,3,Pacific Way,0,0,0.81320236
58696A1113B2081,,,770719,4,Pacific Way,0,0,1.15528562
58696A1113B2081,,,770720,5,Pacific Way,0,0,1.70841868
58696A1113B2081,,,770574,6,Pacific Way,0,0,2.02839388
58696A1113B2081,07:08:00,07:08:00,771468,7,Pacific Way,0,0,2.20699446
58696A1113B2081,,,770721,8,Pacific Way,0,0,2.3606072
58696A1113B2081,,,770722,9,Pacific Way,0,0,2.45202948
58696A1113B2081,,,770723,10,Pacific Way,0,0,2.83580928
58696A1113B2081,,,770726,11,Pacific Way,0,0,3.00932898
58696A1113B2081,,,770727,12,Pacific Way,0,0,3.73078657
58696A1113B2081,,,770728,13,Ocean Beach Hwy. & Robbins,0,0,4.13760433
58696A1113B2081,,,770729,14,Ocean Beach Hwy. & Robbins,0,0,4.52642617
58696A1113B2081,,,770730,15,Ocean Beach Hwy. & Robbins,0,0,4.91331158
58696A1113B2081,07:16:00,07:16:00,770731,16,Ocean Beach Hwy. & Robbins,0,0,5.22900064
58696A1113B2081,,,770732,17,Ocean Beach Hwy. & Robbins,0,0,5.72526713
58696A1113B2081,,,770733,18,Ocean Beach Hwy. & Robbins,0,0,6.08617481
58696A1113B2081,,,781801,19,Ocean Beach Hwy. & Robbins,0,0,6.30985198
58696A1113B2081,,,770734,20,Ocean Beach Hwy. & Robbins,0,0,6.56652329
58696A1113B2081,,,770735,21,Ocean Beach Hwy. & Robbins,0,0,6.7703696
58696A1113B2081,,,770541,22,Ocean Beach Hwy. & Robbins,0,0,6.91481602
58696A1113B2081,,,770542,23,Ocean Beach Hwy. & Robbins,0,0,7.2055708
58696A1113B2081,,,770576,24,Ocean Beach Hwy. & Robbins,0,0,7.56167262
58696A1113B2081,07:31:00,07:31:00,781802,25,Ocean Beach Hwy. & Robbins,0,0,7.88083355
58696A1113B2081,,,770543,26,Ocean Beach Hwy. & Robbins,0,0,8.5048826
58696A1113B2081,,,770544,27,Transit Center,0,0,8.8271351
58696A1113B2081,,,770545,28,Transit Center,0,0,9.20653071
58696A1113B2081,,,770546,29,Transit Center,0,0,9.81444155
58696A1113B2081,,,770547,30,Transit Center,0,0,10.09068816
58696A1113B2081,,,770548,31,Transit Center,0,0,10.33930857
58696A1113B2081,,,770549,32,Transit Center,0,0,10.59353787
