stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone
770539,,Hemlock & 10th,,46.13459887,-122.9310785,0,,0,,
770540,,Beech & 15th,,46.1212962,-122.946458,0,,0,,
770541,,46th & Ocean Beach Hwy,,46.16407532,-123.0001588,0,,0,,
770542,,Ocean Beach Hwy & 48th,,46.16629392,-123.004835,,,0,,
770543,,Finch & Woodthrush,,46.17748561,-123.0134609,0,,0,,
770544,,Robbins & Finch,,46.17523433,-123.0131732,0,,0,,
770545,,Ocean Beach Hwy. & Mt Solo,,46.1710522,-123.0151456,,,0,,
770546,,Ocean Beach Hwy & 48th,,46.16592389,-123.0047964,,,0,,
770547,,Ocean Beach Hwy & 46th,,46.16365749,-123.000148,,,0,,
770548,,Ocean Beach Hwy & 44th,,46.16158295,-122.9959044,,,0,,
770549,,Ocean Beach Hwy & 42nd,,46.15946954,-122.9916641,,,0,,
770550,,Beech & 19th,,46.12375233,-122.9515014,0,,0,,
770551,,Ocean Beach Hwy & 40th,,46.15740168,-122.9874337,,,0,,
770552,,Walmart,,46.15524185,-122.9830523,,,0,,
770553,,Ocean Beach Hwy & 34th,,46.15110901,-122.9746655,,,0,,
770554,,Ocean Beach Hwy & 28th,,46.14708691,-122.9574877,,,0,,
770555,,Louisiana & 25th,,46.1420032,-122.9494239,0,,0,,
770556,,Louisiana & 22nd,,46.1411952,-122.9455178,0,,0,,
770557,,20th & Larch,,46.13969599,-122.9438229,0,,0,,
770558,,Florida & 17th,,46.13468803,-122.9411675,0,,0,,
770559,,Florida & 15th,,46.13441514,-122.9398762,0,,0,,
770560,,Alabama & 22nd,,46.12324669,-122.9560999,0,,0,,
770561,,Heron Pointe,,46.17482997,-123.0225996,,,0,,
770562,,Alabama & 24th,,46.12415214,-122.9581733,0,,0,,
770563,,Ocean Beach Hwy. & 32nd,,46.14784405,-122.9664333,,,0,,
770564,,Washington  & 15th,,46.14037496,-122.9361769,0,,0,,
770565,,Washington  & 11th,,46.14281903,-122.9305093,0,,0,,
770566,,Cowlitz & 5th,,46.14713768,-122.9194024,0,,0,,
770567,,Amtrak/Greyhound,,46.14258023,-122.913015,,,0,,
770568,,Three Rivers Mall,,46.13929992,-122.9014357,,,0,,
770569,,Three Rivers Mall & Safeway,,46.14114237,-122.9015756,,,0,,
770570,,Cowlitz & 3rd,,46.14701701,-122.9097269,0,,0,,
770571,,Cowlitz & Long,,46.1473484951304,-122.920059851521,,,0,,
770572,,Alabama & 26th,,46.12508103,-122.9602312,0,,0,,
770573,,Ocean Beach Hwy & 8th,,46.14650752,-122.9258431,0,,0,,
770574,,Ocean Beach Hwy & 28th,,46.14739565,-122.958087,,,0,,
770575,,Walmart,,46.15574386,-122.9834064,,,0,,
770576,,Ocean Beach Hwy & 52nd,,46.16926902,-123.0109336,0,,0,,
770577,,Hudson & 10th,,46.13616667,-122.93045,0,,0,,
770578,,Hudson & 7th,,46.13538556,-122.9263756,0,,0,,
770579,,3rd  & Hudson,,46.13496396,-122.9225789,0,,0,,
770580,,3rd  & Peardale,,46.138884,-122.9192496,0,,0,,
770581,,Hall of Justice,,46.14306571,-122.9170708,,,0,,
770582,,Alabama & 28th,,46.12604883,-122.9624667,0,,0,,
770583,,8th & Vine,,46.14227388,-122.9052554,,,0,,
770584,,Cowlitz  & Long,,46.14732363,-122.9202913,0,,0,,
770585,,Mark Morris H.S.,,46.14393381,-122.9346728,,,0,,
770586,,15th & Fir,,46.13258123,-122.9392404,0,,0,,
770587,,32nd & Cypress,,46.12913002,-122.9653594,0,,0,,
770588,,Pacific & Harris,,46.14993307,-122.9093973,0,,0,,
770589,,Pacific & 1st,,46.15276482,-122.9098095,0,,0,,
770590,,Barnes & Pacific,,46.15923477,-122.9125893,0,,0,,
770591,,Barnes & 4th,,46.15920766,-122.9085621,0,,0,,
770592,,Bowmont & Croy,,46.1570896,-122.9056333,0,,0,,
770593,,2nd  & Division,,46.15566113,-122.9089043,0,,0,,
770594,,Redpath & 5th,,46.15394457,-122.9058716,0,,0,,
770595,,32nd & Douglas,,46.13112823,-122.9660451,0,,0,,
770596,,Crawford & N. Pacific ,,46.14787444,-122.9101245,,,0,,
770597,,Crawford & 5th,,46.1472316014367,-122.907441611639,,,0,,
770598,,7th  & Columbia,,46.14750272,-122.9049677,0,,0,,
770599,,7th  & Burcham,,46.15023604,-122.9039587,0,,0,,
770600,,Mt Brynion & Minor,,46.15218333,-122.90015,0,,0,,
770601,,Burcham & Bloyd,,46.15068407,-122.89944,0,,0,,
770602,,18th & Bloyd,,46.15119699,-122.8930532,0,,0,,
770603,,Sunrise & 22nd,,46.15210092,-122.8881223,0,,0,,
770604,,Sunrise & 24th,,46.15169087,-122.8852602,0,,0,,
770605,,Corduroy & Allen,,46.145075,-122.8794183,0,,0,,
770606,,32nd & Dover,,46.13393415,-122.9669209,0,,0,,
770607,,Allen & Crescent,,46.14550246,-122.8855139,0,,0,,
770608,,Allen & Bates,,46.14498214,-122.8905504,,,0,,
770609,,Allen & Allen,,46.14373257,-122.9035777,0,,0,,
770610,,Mill  & 12th,,46.13754493,-122.9032554,0,,0,,
770611,,Mill  & 8th,,46.13754581,-122.9075048,0,,0,,
770612,,7th  & Elm,,46.13479459,-122.9098274,0,,0,,
770613,,32nd & Florida,,46.13636247,-122.9677839,0,,0,,
770614,,Walnut & 7th,,46.13074568,-122.9109345,0,,0,,
770615,,Walnut & 11th,,46.13077515,-122.9067684,0,,0,,
770616,,Hazel & 13th,,46.12596094,-122.9008048,0,,0,,
770617,,Pacific & Hawthorne,,46.1276134217654,-122.912819066934,,,0,,
770618,,Pacific & Elm,,46.13568686,-122.9145695,0,,0,,
770619,,Pacific & Mill,,46.13766047,-122.9138445,0,,0,,
770620,,Pacific & Cherry,,46.13899338,-122.9133571,0,,0,,
770621,,Pacific & Cherry,,46.13925362,-122.9135098,0,,0,,
770622,,Pacific & Mill,,46.13737535,-122.9141883,0,,0,,
770623,,7th  & Hemlock,,46.13388372,-122.9274023,0,,0,,
770624,,32nd & Hudson,,46.13976755,-122.9664319,0,,0,,
770625,,Pacific & Elm,,46.13554615,-122.9148721,0,,0,,
770626,,Hazel & mid-block,,46.12575381,-122.9086118,0,,0,,
770627,,13th  & Hazel,,46.12599752,-122.9005552,0,,0,,
770628,,Walnut & Clinton,,46.1308679,-122.9022652,0,,0,,
770629,,Walnut & 10th,,46.13086202,-122.9080006,0,,0,,
770630,,7th & Yew,,46.13217504,-122.9105916,,,0,,
