route_id,service_id,trip_id,trip_short_name,trip_headsign,direction_id,block_id,shape_id,trip_bikes_allowed,bikes_allowed
1404,1114A2081,60561A1114B2081,,Loop Route,,2133,0,0,0
1404,1113A2081,60544A1113B2081,,Loop Route,,2133,1,0,0
1398,1113A2081,89681A1113B2081,,,,2129,2,0,0
1402,1113A2081,58696A1113B2081,,Loop Route,,2131,3,0,0
1401,1114A2081,60588A1114B2081,,Loop Route,,2126,4,0,0
1401,1113A2081,60567A1113B2081,,Loop Route,,2127,4,0,0
1401,1114A2081,60595A1114B2081,,Loop Route,,2126,4,0,0
1403,1114A2081,89700A1114B2081,,Loop Route,,2128,5,0,0
1400,1113A2081,89676A1113B2081,,Loop Route,,2135,6,0,0
1401,1113A2081,60568A1113B2081,,Loop Route,,2127,4,0,0
1401,1113A2081,60571A1113B2081,,Loop Route,,2126,4,0,0
1400,1113A2081,58701A1113B2081,,Loop Route,,2130,6,0,0
1401,1114A2081,60592A1114B2081,,Loop Route,,2126,4,0,0
1399,1113A2081,89679A1113B2081,,,,2132,7,0,0
1401,1113A2081,60578A1113B2081,,Loop Route,,2126,4,0,0
1400,1113A2081,89671A1113B2081,,Loop Route,,2135,6,0,0
1401,1114A2081,60596A1114B2081,,Loop Route,,2126,4,0,0
1401,1114A2081,60597A1114B2081,,Loop Route,,2126,4,0,0
1403,1113A2081,89685A1113B2081,,Loop Route,,2128,5,0,0
1401,1113A2081,60581A1113B2081,,Loop Route,,2127,4,0,0
1402,1114A2081,58801A1114B2081,,Loop Route,,2131,3,0,0
1400,1113A2081,89678A1113B2081,,Loop Route,,2130,6,0,0
1401,1113A2081,60582A1113B2081,,Loop Route,,2127,4,0,0
1400,1113A2081,89677A1113B2081,,Loop Route,,2130,6,0,0
1401,1114A2081,60590A1114B2081,,Loop Route,,2126,4,0,0
1400,1114A2081,58687A1114B2081,,Loop Route,,2135,6,0,0
1398,1113A2081,58695A1113B2081,,Loop Route,,2129,8,0,0
1400,1113A2081,89674A1113B2081,,Loop Route,,2135,6,0,0
1400,1113A2081,58805A1113B2081,,Loop Route,,2135,6,0,0
1401,1114A2081,60591A1114B2081,,Loop Route,,2126,4,0,0
1398,1113A2081,89682A1113B2081,,,,2129,9,0,0
1401,1114A2081,60589A1114B2081,,Loop Route,,2126,4,0,0
1401,1113A2081,60574A1113B2081,,Loop Route,,2127,4,0,0
1401,1114A2081,60594A1114B2081,,Loop Route,,2126,4,0,0
1400,1113A2081,89670A1113B2081,,Loop Route,,2135,6,0,0
1403,1113A2081,58761A1113B2081,,,,2128,10,0,0
1401,1113A2081,60579A1113B2081,,Loop Route,,2126,4,0,0
1401,1113A2081,60585A1113B2081,,Loop Route,,2127,4,0,0
1401,1113A2081,60569A1113B2081,,Loop Route,,2127,4,0,0
1400,1113A2081,89675A1113B2081,,Loop Route,,2135,6,0,0
1401,1113A2081,89667A1113B2081,,Loop Route,,2126,4,0,0
1401,1113A2081,60583A1113B2081,,Loop Route,,2126,4,0,0
1401,1113A2081,89666A1113B2081,,,1,2127,11,0,0
1401,1114A2081,60593A1114B2081,,Loop Route,,2126,4,0,0
1401,1113A2081,60576A1113B2081,,Loop Route,,2126,4,0,0
1400,1113A2081,58792A1113B2081,,Loop Route,,2130,6,0,0
1400,1113A2081,58762A1113B2081,,Transit Center,0,2135,12,0,0
1399,1113A2081,89680A1113B2081,,Loop Route,,2132,13,0,0
1400,1113A2081,58729A1113B2081,,Loop Route,,2135,6,0,0
1400,1113A2081,58713A1113B2081,,Loop Route,,2135,6,0,0
1401,1113A2081,60584A1113B2081,,Loop Route,,2127,4,0,0
1401,1113A2081,89668A1113B2081,,Loop Route,,2127,4,0,0
1400,1113A2081,58703A1113B2081,,Loop Route,,2130,6,0,0
1401,1113A2081,60575A1113B2081,,Loop Route,,2126,4,0,0
1403,1113A2081,89683A1113B2081,,,,2128,14,0,0
1400,1113A2081,89672A1113B2081,,Loop Route,,2135,6,0,0
1399,1113A2081,58667A1113B2081,,,,2132,15,0,0
1402,1113A2081,58743A1113B2081,,Transit Center,1,2131,16,0,0
1400,1113A2081,58779A1113B2081,,Loop Route,,2130,6,0,0
1400,1113A2081,58775A1113B2081,,Loop Route,,2130,6,0,0
