service_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday
1_merged_515686,20150118,20150516,1,1,1,1,1,0,0
801_merged_515690,20150118,20150516,0,0,0,0,0,0,0
801_merged_515696,20150517,20150919,0,0,0,0,0,0,0
3_merged_515693,20150517,20150919,0,0,0,0,0,0,1
1_merged_515692,20150517,20150919,1,1,1,1,1,0,0
601_merged_515691,20150517,20150919,0,0,0,0,0,0,0
3_merged_515687,20150118,20150516,0,0,0,0,0,0,1
2_merged_515688,20150118,20150516,0,0,0,0,0,1,0
601_merged_515685,20150118,20150516,0,0,0,0,0,0,0
7,20150118,20150516,0,0,0,0,0,0,0
5,20150517,20150919,0,0,0,0,0,0,0
2_merged_515694,20150517,20150919,0,0,0,0,0,1,0
4_merged_515695,20150517,20150919,0,0,0,0,0,0,0
4_merged_515689,20150118,20150516,0,0,0,0,0,0,0
