route_long_name,route_type,route_text_color,route_color,agency_id,route_id,route_url,route_desc,route_short_name
South Valley,3,000000,FFFFFF,STA,5010,http://www.spokanetransit.com/routes-schedules/route/97-south-valley/,,97
Liberty Lake via Sprague,3,000000,FFFFFF,STA,5011,http://www.spokanetransit.com/routes-schedules/route/98-liberty-lake-via-sprague/,,98
Regal,3,000000,FFFFFF,STA,5064,http://www.spokanetransit.com/routes-schedules/route/45-regal/,,45
Hillyard,3,000000,FFFFFF,STA,5054,http://www.spokanetransit.com/routes-schedules/route/27-hillyard/,,27
Airport via Brownes Addition,3,000000,FFFFFF,STA,5066,http://www.spokanetransit.com/routes-schedules/route/60-airport-brownes-addition/,,60
Wellesley,3,000000,FFFFFF,STA,5058,http://www.spokanetransit.com/routes-schedules/route/33-wellesley/,,33
Freya,3,000000,FFFFFF,STA,5059,http://www.spokanetransit.com/routes-schedules/route/34-freya/,,34
Nevada,3,000000,FFFFFF,STA,5055,http://www.spokanetransit.com/routes-schedules/route/28-nevada/,,28
East Central Millwood,3,000000,FFFFFF,STA,5072,http://www.spokanetransit.com/routes-schedules/route/94-east-central-millwood/,,94
Pines Sullivan,3,000000,FFFFFF,STA,5073,http://www.spokanetransit.com/routes-schedules/route/96-pines-sullivan/,,96
SCC,3,000000,FFFFFF,STA,5056,http://www.spokanetransit.com/routes-schedules/route/29-spokane-community-college/,,29
Trent Montgomery,3,000000,FFFFFF,STA,5057,http://www.spokanetransit.com/routes-schedules/route/32-trent-montgomery/,,32
Maple Ash,3,000000,FFFFFF,STA,5050,http://www.spokanetransit.com/routes-schedules/route/23-maple-ash/,,23
Monroe,3,000000,FFFFFF,STA,5051,http://www.spokanetransit.com/routes-schedules/route/24-monroe/,,24
Division,3,000000,FFFFFF,STA,5052,http://www.spokanetransit.com/routes-schedules/route/25-division/,,25
Lidgerwood,3,000000,FFFFFF,STA,5053,http://www.spokanetransit.com/routes-schedules/route/26-lidgerwood/,,26
Sprague,3,000000,FFFFFF,STA,5071,http://www.spokanetransit.com/routes-schedules/route/90-sprague/,,90
29th Avenue,3,000000,FFFFFF,STA,5063,http://www.spokanetransit.com/routes-schedules/route/44-29th-ave/,,44
Lincoln 37th,3,000000,FFFFFF,STA,5062,http://www.spokanetransit.com/routes-schedules/route/43-lincoln-37th/,,43
North Express,3,000000,FFFFFF,STA,5042,http://www.spokanetransit.com/routes-schedules/route/124-north-express/,,124
Liberty Lake Express,3,000000,FFFFFF,STA,4981,http://www.spokanetransit.com/routes-schedules/route/174-liberty-lake-express/,,174
VTC Express,3,000000,FFFFFF,STA,4980,http://www.spokanetransit.com/routes-schedules/route/173-valley-transit-center-express/,,173
SFCC,3,000000,FFFFFF,STA,4983,http://www.spokanetransit.com/routes-schedules/route/20-spokane-falls-community-college/,,20
Southside Medical Shuttle,3,000000,FFFFFF,STA,4982,http://www.spokanetransit.com/routes-schedules/route/02-southside-medical-shuttle/,,2
NW Blvd,3,000000,FFFFFF,STA,4985,http://www.spokanetransit.com/routes-schedules/route/22-nw-blvd/,,22
West Broadway,3,000000,FFFFFF,STA,4984,http://www.spokanetransit.com/routes-schedules/route/21-west-broadway/,,21
