service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
20150604,0,0,0,1,0,0,0,20150604,20150604
20150605,0,0,0,0,1,0,0,20150605,20150605
20150606,0,0,0,0,0,1,0,20150606,20150606
20150607,0,0,0,0,0,0,1,20150607,20150607
20150608,1,0,0,0,0,0,0,20150608,20150608
20150609,0,1,0,0,0,0,0,20150609,20150609
20150610,0,0,1,0,0,0,0,20150610,20150610
20150611,0,0,0,1,0,0,0,20150611,20150611
20150612,0,0,0,0,1,0,0,20150612,20150612
20150613,0,0,0,0,0,1,0,20150613,20150613
20150614,0,0,0,0,0,0,1,20150614,20150614
20150615,1,0,0,0,0,0,0,20150615,20150615
20150616,0,1,0,0,0,0,0,20150616,20150616
20150617,0,0,1,0,0,0,0,20150617,20150617
20150618,0,0,0,1,0,0,0,20150618,20150618
20150619,0,0,0,0,1,0,0,20150619,20150619
20150620,0,0,0,0,0,1,0,20150620,20150620
20150621,0,0,0,0,0,0,1,20150621,20150621
20150622,1,0,0,0,0,0,0,20150622,20150622
20150623,0,1,0,0,0,0,0,20150623,20150623
20150624,0,0,1,0,0,0,0,20150624,20150624
20150625,0,0,0,1,0,0,0,20150625,20150625
20150626,0,0,0,0,1,0,0,20150626,20150626
20150627,0,0,0,0,0,1,0,20150627,20150627
20150628,0,0,0,0,0,0,1,20150628,20150628
20150629,1,0,0,0,0,0,0,20150629,20150629
20150630,0,1,0,0,0,0,0,20150630,20150630
20150701,0,0,1,0,0,0,0,20150701,20150701
20150702,0,0,0,1,0,0,0,20150702,20150702
20150703,0,0,0,0,1,0,0,20150703,20150703
20150704,0,0,0,0,0,1,0,20150704,20150704
20150705,0,0,0,0,0,0,1,20150705,20150705
20150706,1,0,0,0,0,0,0,20150706,20150706
20150707,0,1,0,0,0,0,0,20150707,20150707
20150708,0,0,1,0,0,0,0,20150708,20150708
20150709,0,0,0,1,0,0,0,20150709,20150709
20150710,0,0,0,0,1,0,0,20150710,20150710
20150711,0,0,0,0,0,1,0,20150711,20150711
20150712,0,0,0,0,0,0,1,20150712,20150712
20150713,1,0,0,0,0,0,0,20150713,20150713
20150714,0,1,0,0,0,0,0,20150714,20150714
20150715,0,0,1,0,0,0,0,20150715,20150715
20150716,0,0,0,1,0,0,0,20150716,20150716
20150717,0,0,0,0,1,0,0,20150717,20150717
20150718,0,0,0,0,0,1,0,20150718,20150718
20150719,0,0,0,0,0,0,1,20150719,20150719
20150720,1,0,0,0,0,0,0,20150720,20150720
20150721,0,1,0,0,0,0,0,20150721,20150721
20150722,0,0,1,0,0,0,0,20150722,20150722
20150723,0,0,0,1,0,0,0,20150723,20150723
20150724,0,0,0,0,1,0,0,20150724,20150724
20150725,0,0,0,0,0,1,0,20150725,20150725
20150726,0,0,0,0,0,0,1,20150726,20150726
20150727,1,0,0,0,0,0,0,20150727,20150727
20150728,0,1,0,0,0,0,0,20150728,20150728
20150729,0,0,1,0,0,0,0,20150729,20150729
20150730,0,0,0,1,0,0,0,20150730,20150730
20150731,0,0,0,0,1,0,0,20150731,20150731
20150801,0,0,0,0,0,1,0,20150801,20150801
20150802,0,0,0,0,0,0,1,20150802,20150802
20150803,1,0,0,0,0,0,0,20150803,20150803
20150804,0,1,0,0,0,0,0,20150804,20150804
20150805,0,0,1,0,0,0,0,20150805,20150805
20150806,0,0,0,1,0,0,0,20150806,20150806
20150807,0,0,0,0,1,0,0,20150807,20150807
20150808,0,0,0,0,0,1,0,20150808,20150808
20150809,0,0,0,0,0,0,1,20150809,20150809
20150810,1,0,0,0,0,0,0,20150810,20150810
20150811,0,1,0,0,0,0,0,20150811,20150811
20150812,0,0,1,0,0,0,0,20150812,20150812
20150813,0,0,0,1,0,0,0,20150813,20150813
20150814,0,0,0,0,1,0,0,20150814,20150814
20150815,0,0,0,0,0,1,0,20150815,20150815
20150816,0,0,0,0,0,0,1,20150816,20150816
20150817,1,0,0,0,0,0,0,20150817,20150817
20150818,0,1,0,0,0,0,0,20150818,20150818
20150819,0,0,1,0,0,0,0,20150819,20150819
20150820,0,0,0,1,0,0,0,20150820,20150820
20150821,0,0,0,0,1,0,0,20150821,20150821
20150822,0,0,0,0,0,1,0,20150822,20150822
20150823,0,0,0,0,0,0,1,20150823,20150823
20150824,1,0,0,0,0,0,0,20150824,20150824
20150825,0,1,0,0,0,0,0,20150825,20150825
20150826,0,0,1,0,0,0,0,20150826,20150826
20150827,0,0,0,1,0,0,0,20150827,20150827
20150828,0,0,0,0,1,0,0,20150828,20150828
20150829,0,0,0,0,0,1,0,20150829,20150829
20150830,0,0,0,0,0,0,1,20150830,20150830
20150831,1,0,0,0,0,0,0,20150831,20150831
20150901,0,1,0,0,0,0,0,20150901,20150901
20150902,0,0,1,0,0,0,0,20150902,20150902
20150903,0,0,0,1,0,0,0,20150903,20150903
20150904,0,0,0,0,1,0,0,20150904,20150904
20150905,0,0,0,0,0,1,0,20150905,20150905
20150906,0,0,0,0,0,0,1,20150906,20150906
20150907,1,0,0,0,0,0,0,20150907,20150907
20150908,0,1,0,0,0,0,0,20150908,20150908
20150909,0,0,1,0,0,0,0,20150909,20150909
20150910,0,0,0,1,0,0,0,20150910,20150910
20150911,0,0,0,0,1,0,0,20150911,20150911
20150912,0,0,0,0,0,1,0,20150912,20150912
20150913,0,0,0,0,0,0,1,20150913,20150913
20150914,1,0,0,0,0,0,0,20150914,20150914
20150915,0,1,0,0,0,0,0,20150915,20150915
20150916,0,0,1,0,0,0,0,20150916,20150916
20150917,0,0,0,1,0,0,0,20150917,20150917
20150918,0,0,0,0,1,0,0,20150918,20150918
20150919,0,0,0,0,0,1,0,20150919,20150919
