shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
2220,47.510174,-122.463921,0
2220,47.512104,-122.463577,1
2220,47.512451,-122.463623,2
2220,47.512684,-122.464264,3
2220,47.513729,-122.468643,4
2220,47.514366,-122.472763,5
2220,47.514538,-122.476044,6
2220,47.514496,-122.479607,7
2220,47.514263,-122.484848,8
2220,47.513859,-122.491478,9
2220,47.513264,-122.494308,10
2220,47.512714,-122.495850,11
2220,47.511950,-122.497363,12
2022,47.510174,-122.463921,12
2022,47.512104,-122.463577,11
2022,47.512451,-122.463623,10
2022,47.512684,-122.464264,9
2022,47.513729,-122.468643,8
2022,47.514366,-122.472763,7
2022,47.514538,-122.476044,6
2022,47.514496,-122.479607,5
2022,47.514263,-122.484848,4
2022,47.513859,-122.491478,3
2022,47.513264,-122.494308,2
2022,47.512714,-122.495850,1
2022,47.511950,-122.4973638,0
922,47.523214,-122.395526,0
922,47.523125,-122.396942,1
922,47.511616,-122.462479,2
922,47.511154,-122.463165,3
922,47.510174,-122.463921,4
229,47.523214,-122.395526,4
229,47.523125,-122.396942,3
229,47.511616,-122.462479,2
229,47.511154,-122.463165,1
229,47.510174,-122.463921,0
1510,48.597660,-122.943880,0
1510,48.596375,-122.943558,1
1510,48.595268,-122.944801,2
1510,48.594418,-122.947632,3
1510,48.594219,-122.951149,4
1510,48.596802,-122.962608,5
1510,48.596573,-122.968063,6
1510,48.594627,-122.974731,7
1510,48.594059,-122.985031,8
1510,48.593433,-122.987526,9
1510,48.590424,-122.995079,10
1510,48.589912,-123.006836,11
1510,48.592072,-123.008896,12
1510,48.593433,-123.013443,13
1510,48.593662,-123.016365,14
1510,48.592922,-123.020828,15
1510,48.590313,-123.028122,16
1510,48.588039,-123.030785,17
1510,48.582989,-123.030609,18
1510,48.576176,-123.026405,19
1510,48.558453,-123.001854,20
1510,48.555271,-123.001511,21
1510,48.548908,-123.001854,22
1510,48.546635,-123.002800,23
1510,48.544930,-123.004776,24
1510,48.542145,-123.011986,25
1510,48.535123,-123.014520,26
1015,48.597660,-122.943880,26
1015,48.596375,-122.943558,25
1015,48.595268,-122.944801,24
1015,48.594418,-122.947632,23
1015,48.594219,-122.951149,22
1015,48.596802,-122.962608,21
1015,48.596573,-122.968063,20
1015,48.594627,-122.974731,19
1015,48.594059,-122.985031,18
1015,48.593433,-122.987526,17
1015,48.590424,-122.995079,16
1015,48.589912,-123.006836,15
1015,48.592072,-123.008896,14
1015,48.593433,-123.013443,13
1015,48.593662,-123.016365,12
1015,48.592922,-123.020828,11
1015,48.590313,-123.028122,10
1015,48.588039,-123.030785,9
1015,48.582989,-123.030609,8
1015,48.576176,-123.026405,7
1015,48.558453,-123.001854,6
1015,48.555271,-123.001511,5
1015,48.548908,-123.001854,4
1015,48.546635,-123.002800,3
1015,48.544930,-123.004776,2
1015,48.542145,-123.011986,1
1015,48.535123,-123.014520,0
1711,48.112628,-122.760506,0
1711,48.110203,-122.757156,1
1711,48.109859,-122.754150,2
1711,48.111980,-122.748398,3
1711,48.114731,-122.744537,4
1711,48.119602,-122.740677,5
1711,48.121838,-122.739731,6
1711,48.123955,-122.737495,7
1711,48.152252,-122.680077,8
1711,48.154598,-122.673897,9
1711,48.155800,-122.672607,10
1711,48.159204,-122.672815,11
1117,48.112628,-122.760506,11
1117,48.110203,-122.757156,10
1117,48.109859,-122.754150,9
1117,48.111980,-122.748398,8
1117,48.114731,-122.744537,7
1117,48.119602,-122.740677,6
1117,48.121838,-122.739731,5
1117,48.123955,-122.737495,4
1117,48.152252,-122.680077,3
1117,48.154598,-122.673897,2
1117,48.155800,-122.672607,1
1117,48.159204,-122.672815,0
1315,48.570710,-122.883440,0
1315,48.575039,-122.880661,1
1315,48.579296,-122.884186,2
1315,48.583099,-122.891304,3
1315,48.586281,-122.901009,4
1315,48.588436,-122.911652,5
1315,48.589291,-122.918861,6
1315,48.589348,-122.933708,7
1315,48.597660,-122.943880,8
1513,48.570710,-122.883440,8
1513,48.575039,-122.880661,7
1513,48.579296,-122.884186,6
1513,48.583099,-122.891304,5
1513,48.586281,-122.901009,4
1513,48.588436,-122.911652,3
1513,48.589291,-122.918861,2
1513,48.589348,-122.933708,1
1513,48.597660,-122.943880,0
1810,48.584564,-122.929688,0
1810,48.585339,-122.929993,1
1810,48.592628,-122.938194,2
1810,48.594444,-122.951881,3
1810,48.596771,-122.962654,4
1810,48.596573,-122.967972,5
1810,48.594616,-122.974670,6
1810,48.593906,-122.984200,7
1810,48.593338,-122.987373,8
1810,48.590443,-122.994843,9
1810,48.589706,-123.006943,10
1810,48.592033,-123.008873,11
1810,48.593510,-123.013680,12
1810,48.593651,-123.016342,13
1810,48.592770,-123.021149,14
1810,48.590275,-123.028015,15
1810,48.588058,-123.030548,16
1810,48.583202,-123.030586,17
1810,48.578011,-123.028053,18
1810,48.575794,-123.025955,19
1810,48.559692,-123.003082,20
1810,48.558498,-123.001747,21
1810,48.556824,-123.001190,22
1810,48.550148,-123.001579,23
1810,48.546738,-123.002563,24
1810,48.544865,-123.004623,25
1810,48.543076,-123.009476,26
1810,48.542107,-123.011749,27
1810,48.540714,-123.012604,28
1810,48.535123,-123.014520,29
1018,48.584564,-122.929688,29
1018,48.585339,-122.929993,28
1018,48.592628,-122.938194,27
1018,48.594444,-122.951881,26
1018,48.596771,-122.962654,25
1018,48.596573,-122.967972,24
1018,48.594616,-122.974670,23
1018,48.593906,-122.984200,22
1018,48.593338,-122.987373,21
1018,48.590443,-122.994843,20
1018,48.589706,-123.006943,19
1018,48.592033,-123.008873,18
1018,48.593510,-123.013680,17
1018,48.593651,-123.016342,16
1018,48.592770,-123.021149,15
1018,48.590275,-123.028015,14
1018,48.588058,-123.030548,13
1018,48.583202,-123.030586,12
1018,48.578011,-123.028053,11
1018,48.575794,-123.025955,10
1018,48.559692,-123.003082,9
1018,48.558498,-123.001747,8
1018,48.556824,-123.001190,7
1018,48.550148,-123.001579,6
1018,48.546738,-123.002563,5
1018,48.544865,-123.004623,4
1018,48.543076,-123.009476,3
1018,48.542107,-123.011749,2
1018,48.540714,-123.012604,1
1018,48.535123,-123.014520,0
812,47.812403,-122.382076,0
812,47.814789,-122.389626,1
812,47.815136,-122.392632,2
812,47.814503,-122.396835,3
812,47.794903,-122.468422,4
812,47.793056,-122.476746,5
812,47.792480,-122.483269,6
812,47.792595,-122.489532,7
812,47.793633,-122.493050,8
812,47.796054,-122.496287,9
128,47.812403,-122.382076,9
128,47.814789,-122.389626,8
128,47.815136,-122.392632,7
128,47.814503,-122.396835,6
128,47.794903,-122.468422,5
128,47.793056,-122.476746,4
128,47.792480,-122.483269,3
128,47.792595,-122.489532,2
128,47.793633,-122.493050,1
128,47.796054,-122.496287,0
118,48.506730,-122.678140,0
118,48.508682,-122.676880,1
118,48.511299,-122.677437,2
118,48.515564,-122.680229,3
118,48.517811,-122.683487,4
118,48.520130,-122.688530,5
118,48.521324,-122.695053,6
118,48.523136,-122.719688,7
118,48.527687,-122.756081,8
118,48.529049,-122.781487,9
118,48.527405,-122.807152,10
118,48.534058,-122.827408,11
118,48.544113,-122.835220,12
118,48.555874,-122.841225,13
118,48.572231,-122.857018,14
118,48.583588,-122.891350,15
118,48.586849,-122.902809,16
118,48.589119,-122.915085,17
118,48.589413,-122.919456,18
118,48.588947,-122.923576,19
118,48.588020,-122.926414,20
118,48.586620,-122.928642,21
118,48.584317,-122.929690,22
181,48.506730,-122.678140,22
181,48.508682,-122.676880,21
181,48.511299,-122.677437,20
181,48.515564,-122.680229,19
181,48.517811,-122.683487,18
181,48.520130,-122.688530,17
181,48.521324,-122.695053,16
181,48.523136,-122.719688,15
181,48.527687,-122.756081,14
181,48.529049,-122.781487,13
181,48.527405,-122.807152,12
181,48.534058,-122.827408,11
181,48.544113,-122.835220,10
181,48.555874,-122.841225,9
181,48.572231,-122.857018,8
181,48.583588,-122.891350,7
181,48.586849,-122.902809,6
181,48.589119,-122.915085,5
181,48.589413,-122.919456,4
181,48.588947,-122.923576,3
181,48.588020,-122.926414,2
181,48.586620,-122.928642,1
181,48.584317,-122.929690,0
1815,48.584568,-122.929695,0
1815,48.585510,-122.930077,1
1815,48.586826,-122.931534,2
1815,48.597660,-122.943880,3
1518,48.584568,-122.929695,3
1518,48.585510,-122.930077,2
1518,48.586826,-122.931534,1
1518,48.597660,-122.943880,0
1310,48.570710,-122.883440,0
1310,48.572971,-122.881668,1
1310,48.574059,-122.881569,2
1310,48.575401,-122.882233,3
1310,48.576569,-122.883728,4
1310,48.576931,-122.885323,5
1310,48.576950,-122.888321,6
1310,48.575562,-122.892830,7
1310,48.572300,-122.897980,8
1310,48.560989,-122.907761,9
1310,48.543381,-122.941017,10
1310,48.541729,-122.947067,11
1310,48.541222,-122.950760,12
1310,48.541222,-122.955399,13
1310,48.543205,-122.968941,14
1310,48.544460,-122.986473,15
1310,48.544430,-122.993813,16
1310,48.541481,-123.007751,17
1310,48.539890,-123.010033,18
1310,48.537979,-123.011139,19
1310,48.535123,-123.014520,20
1013,48.570710,-122.883440,20
1013,48.572971,-122.881668,19
1013,48.574059,-122.881569,18
1013,48.575401,-122.882233,17
1013,48.576569,-122.883728,16
1013,48.576931,-122.885323,15
1013,48.576950,-122.888321,14
1013,48.575562,-122.892830,13
1013,48.572300,-122.897980,12
1013,48.560989,-122.907761,11
1013,48.543381,-122.941017,10
1013,48.541729,-122.947067,9
1013,48.541222,-122.950760,8
1013,48.541222,-122.955399,7
1013,48.543205,-122.968941,6
1013,48.544460,-122.986473,5
1013,48.544430,-122.993813,4
1013,48.541481,-123.007751,3
1013,48.539890,-123.010033,2
1013,48.537979,-123.011139,1
1013,48.535123,-123.014520,0
110,48.506730,-122.678140,0
110,48.508350,-122.676872,1
110,48.510838,-122.677193,2
110,48.513142,-122.678329,3
110,48.521320,-122.688103,4
110,48.529049,-122.775993,5
110,48.527687,-122.807579,6
110,48.534962,-122.828865,7
110,48.556782,-122.841911,8
110,48.572231,-122.854271,9
110,48.576775,-122.889290,10
110,48.574875,-122.893837,11
110,48.572090,-122.897957,12
110,48.560562,-122.908470,13
110,48.554741,-122.919075,14
110,48.544228,-122.939285,15
110,48.542522,-122.943405,16
110,48.541782,-122.948341,17
110,48.541161,-122.954544,18
110,48.541870,-122.960785,19
110,48.543388,-122.971046,20
110,48.544300,-122.982391,21
110,48.544540,-122.993851,22
110,48.543182,-123.001007,23
110,48.541576,-123.007706,24
110,48.539902,-123.010002,25
110,48.538025,-123.011223,26
110,48.535123,-123.014520,27
101,48.506730,-122.678140,27
101,48.508350,-122.676872,26
101,48.510838,-122.677193,25
101,48.513142,-122.678329,24
101,48.521320,-122.688103,23
101,48.529049,-122.775993,22
101,48.527687,-122.807579,21
101,48.534962,-122.828865,20
101,48.556782,-122.841911,19
101,48.572231,-122.854271,18
101,48.576775,-122.889290,17
101,48.574875,-122.893837,16
101,48.572090,-122.897957,15
101,48.560562,-122.908470,14
101,48.554741,-122.919075,13
101,48.544228,-122.939285,12
101,48.542522,-122.943405,11
101,48.541782,-122.948341,10
101,48.541161,-122.954544,9
101,48.541870,-122.960785,8
101,48.543388,-122.971046,7
101,48.544300,-122.982391,6
101,48.544540,-122.993851,5
101,48.543182,-123.001007,4
101,48.541576,-123.007706,3
101,48.539902,-123.010002,2
101,48.538025,-123.011223,1
101,48.535123,-123.014520,0
1318,48.570710,-122.883440,0
1318,48.573353,-122.881203,1
1318,48.575256,-122.880768,2
1318,48.578236,-122.883171,3
1318,48.581104,-122.887291,4
1318,48.584850,-122.895920,5
1318,48.587208,-122.904762,6
1318,48.589195,-122.916862,7
1318,48.588654,-122.924759,8
1318,48.587349,-122.927635,9
1318,48.584568,-122.929695,10
1813,48.570710,-122.883440,10
1813,48.573353,-122.881203,9
1813,48.575256,-122.880768,8
1813,48.578236,-122.883171,7
1813,48.581104,-122.887291,6
1813,48.584850,-122.895920,5
1813,48.587208,-122.904762,4
1813,48.589195,-122.916862,3
1813,48.588654,-122.924759,2
1813,48.587349,-122.927635,1
1813,48.584568,-122.929695,0
920,47.523214,-122.395526,0
920,47.523300,-122.397369,1
920,47.523026,-122.400742,2
920,47.518288,-122.449921,3
920,47.514282,-122.490585,4
920,47.513790,-122.494064,5
920,47.513065,-122.495903,6
920,47.511950,-122.497363,7
209,47.523214,-122.395526,7
209,47.523300,-122.397369,6
209,47.523026,-122.400742,5
209,47.518288,-122.449921,4
209,47.514282,-122.490585,3
209,47.513790,-122.494064,2
209,47.513065,-122.495903,1
209,47.511950,-122.497363,0
73,47.602990,-122.337955,0
73,47.619434,-122.492798,1
73,47.620590,-122.497002,2
73,47.622211,-122.500519,3
73,47.622383,-122.503098,4
73,47.621964,-122.504845,5
73,47.621735,-122.506882,6
73,47.621937,-122.508339,7
73,47.622139,-122.509224,8
73,47.623105,-122.511205,9
37,47.602990,-122.337955,9
37,47.619434,-122.492798,8
37,47.620590,-122.497002,7
37,47.622211,-122.500519,6
37,47.622383,-122.503098,5
37,47.621964,-122.504845,4
37,47.621735,-122.506882,3
37,47.621937,-122.508339,2
37,47.622139,-122.509224,1
37,47.623105,-122.511205,0
1621,47.305523,-122.514273,0
1621,47.332058,-122.507881,1
1621,47.332969,-122.506806,2
2116,47.305523,-122.514273,2
2116,47.332058,-122.507881,1
2116,47.332969,-122.506806,0
113,48.506730,-122.678140,0
113,48.509857,-122.676903,1
113,48.512077,-122.677757,2
113,48.516567,-122.681450,3
113,48.519184,-122.685913,4
113,48.520889,-122.690804,5
113,48.521572,-122.695610,6
113,48.521969,-122.707886,7
113,48.524925,-122.735527,8
113,48.528221,-122.764366,9
113,48.529301,-122.775177,10
113,48.529415,-122.784531,11
113,48.528450,-122.797409,12
113,48.527538,-122.806847,13
113,48.528679,-122.814400,14
113,48.531746,-122.823158,15
113,48.535099,-122.828651,16
113,48.538395,-122.832169,17
113,48.541691,-122.834145,18
113,48.546974,-122.835777,19
113,48.554760,-122.840584,20
113,48.564190,-122.848991,21
113,48.570663,-122.855942,22
113,48.574017,-122.863152,23
113,48.575096,-122.872421,24
113,48.573845,-122.878258,25
113,48.570710,-122.883440,26
131,48.506730,-122.678140,26
131,48.509857,-122.676903,25
131,48.512077,-122.677757,24
131,48.516567,-122.681450,23
131,48.519184,-122.685913,22
131,48.520889,-122.690804,21
131,48.521572,-122.695610,20
131,48.521969,-122.707886,19
131,48.524925,-122.735527,18
131,48.528221,-122.764366,17
131,48.529301,-122.775177,16
131,48.529415,-122.784531,15
131,48.528450,-122.797409,14
131,48.527538,-122.806847,13
131,48.528679,-122.814400,12
131,48.531746,-122.823158,11
131,48.535099,-122.828651,10
131,48.538395,-122.832169,9
131,48.541691,-122.834145,8
131,48.546974,-122.835777,7
131,48.554760,-122.840584,6
131,48.564190,-122.848991,5
131,48.570663,-122.855942,4
131,48.574017,-122.863152,3
131,48.575096,-122.872421,2
131,48.573845,-122.878258,1
131,48.570710,-122.883440,0
119,48.506730,-122.678140,0
119,48.511906,-122.677505,1
119,48.516113,-122.680679,2
119,48.519012,-122.685654,3
119,48.520832,-122.694328,4
119,48.529049,-122.779427,5
119,48.527229,-122.807579,6
119,48.534054,-122.828178,7
119,48.573139,-122.854958,8
119,48.576763,-122.889549,9
119,48.574604,-122.895386,10
119,48.561314,-122.908089,11
119,48.543472,-122.941216,12
119,48.541088,-122.949631,13
119,48.541767,-122.961990,14
119,48.544613,-122.990997,15
119,48.560062,-123.003014,16
119,48.576534,-123.027390,17
119,48.623985,-123.087471,18
119,48.627277,-123.095886,19
119,48.628525,-123.106873,20
119,48.629318,-123.123009,21
119,48.627392,-123.133820,22
119,48.631134,-123.169868,23
119,48.631363,-123.179138,24
119,48.628979,-123.245575,25
119,48.654953,-123.329514,26
119,48.656769,-123.340157,27
119,48.656544,-123.347542,28
119,48.653820,-123.355606,29
119,48.642933,-123.384445,30
119,48.643089,-123.396635,31
119,48.643790,-123.397644,32
191,48.506730,-122.678140,32
191,48.511906,-122.677505,31
191,48.516113,-122.680679,30
191,48.519012,-122.685654,29
191,48.520832,-122.694328,28
191,48.529049,-122.779427,27
191,48.527229,-122.807579,26
191,48.534054,-122.828178,25
191,48.573139,-122.854958,24
191,48.576763,-122.889549,23
191,48.574604,-122.895386,22
191,48.561314,-122.908089,21
191,48.543472,-122.941216,20
191,48.541088,-122.949631,19
191,48.541767,-122.961990,18
191,48.544613,-122.990997,17
191,48.560062,-123.003014,16
191,48.576534,-123.027390,15
191,48.623985,-123.087471,14
191,48.627277,-123.095886,13
191,48.628525,-123.106873,12
191,48.629318,-123.123009,11
191,48.627392,-123.133820,10
191,48.631134,-123.169868,9
191,48.631363,-123.179138,8
191,48.628979,-123.245575,7
191,48.654953,-123.329514,6
191,48.656769,-123.340157,5
191,48.656544,-123.347542,4
191,48.653820,-123.355606,3
191,48.642933,-123.384445,2
191,48.643089,-123.396635,1
191,48.643790,-123.397644,0
74,47.602990,-122.337955,0
74,47.602409,-122.339745,1
74,47.607731,-122.389122,2
74,47.607746,-122.395172,3
