route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
113,20150604,1132720604150,To Lopez Island,,,113
113,20150604,1132720604151,To Lopez Island,,,113
113,20150604,1132720604152,To Lopez Island,,,113
113,20150604,1132720604153,To Lopez Island,,,113
113,20150604,1132720604154,To Lopez Island,,,113
113,20150604,1132720604155,To Lopez Island,,,113
118,20150604,1182720604150,To Shaw Island,,,118
118,20150604,1182720604151,To Shaw Island,,,118
118,20150604,1182720604152,To Shaw Island,,,118
118,20150604,1182720604153,To Shaw Island,,,118
118,20150604,1182720604154,To Shaw Island,,,118
118,20150604,1182720604155,To Shaw Island,,,118
115,20150604,1152720604150,To Orcas Island,,,115
115,20150604,1152720604151,To Orcas Island,,,115
115,20150604,1152720604152,To Orcas Island,,,115
115,20150604,1152720604153,To Orcas Island,,,115
115,20150604,1152720604154,To Orcas Island,,,115
115,20150604,1152720604155,To Orcas Island,,,115
110,20150604,1102720604150,To Friday Harbor,,,110
110,20150604,1102720604151,To Friday Harbor,,,110
110,20150604,1102720604152,To Friday Harbor,,,110
110,20150604,1102720604153,To Friday Harbor,,,110
110,20150604,1102720604154,To Friday Harbor,,,110
110,20150604,1102720604155,To Friday Harbor,,,110
110,20150604,1102720604156,To Friday Harbor,,,110
110,20150604,1102720604157,To Friday Harbor,,,110
119,20150604,1192720604150,To Sidney B.C.,,,119
1318,20150604,13182720604150,To Shaw Island,,,1318
1318,20150604,13182720604151,To Shaw Island,,,1318
1318,20150604,13182720604152,To Shaw Island,,,1318
1318,20150604,13182720604153,To Shaw Island,,,1318
1318,20150604,13182720604154,To Shaw Island,,,1318
1315,20150604,13152720604150,To Orcas Island,,,1315
1315,20150604,13152720604151,To Orcas Island,,,1315
1315,20150604,13152720604152,To Orcas Island,,,1315
1315,20150604,13152720604153,To Orcas Island,,,1315
1315,20150604,13152720604154,To Orcas Island,,,1315
1310,20150604,13102720604150,To Friday Harbor,,,1310
1310,20150604,13102720604151,To Friday Harbor,,,1310
1310,20150604,13102720604152,To Friday Harbor,,,1310
1310,20150604,13102720604153,To Friday Harbor,,,1310
1310,20150604,13102720604154,To Friday Harbor,,,1310
1310,20150604,13102720604155,To Friday Harbor,,,1310
