trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
R1Sun_T05,08:45:00,08:45:00,TC,1,40th & Lincoln,,,0
R1Sun_T05,,,1025,2,40th & Lincoln,,,0.258
R1Sun_T05,,,1110,3,40th & Lincoln,,,0.485
R1Sun_T05,,,477,4,40th & Lincoln,,,0.803
R1Sun_T05,,,523,5,40th & Lincoln,,,1.087
R1Sun_T05,,,524,6,40th & Lincoln,,,1.195
R1Sun_T05,,,7_2,7,40th & Lincoln,,,1.443
R1Sun_T05,,,552,8,40th & Lincoln,,,2.093
R1Sun_T05,,,554,9,40th & Lincoln,,,2.212
R1Sun_T05,,,480,10,40th & Lincoln,,,2.323
R1Sun_T05,,,479,11,40th & Lincoln,,,2.511
R1Sun_T05,,,525,12,40th & Lincoln,,,2.808
R1Sun_T05,,,481,13,40th & Lincoln,,,3.099
R1Sun_T05,08:53:00,08:53:00,8_6,14,40th & Lincoln,,,3.321
R1Sun_T05,,,482,15,40th & Lincoln,,,3.539
R1Sun_T05,,,527,16,40th & Lincoln,,,3.714
R1Sun_T05,,,483,17,40th & Lincoln,,,3.925
R1Sun_T05,,,484,18,40th & Lincoln,,,4.127
R1Sun_T05,,,486,19,40th & Lincoln,,,4.531
R1Sun_T05,,,488,20,40th & Lincoln,,,4.714
R1Sun_T05,,,489,21,40th & Lincoln,,,4.937
R1Sun_T05,,,487,22,40th & Lincoln,,,5.115
R1Sun_T05,,,490,23,40th & Lincoln,,,5.324
R1Sun_T05,,,550,24,40th & Lincoln,,,5.577
R1Sun_T05,08:56:00,08:56:00,33,25,40th & Lincoln,,,5.729
R1Sun_T05,,,1_7,26,West Valley Wal-Mart,,,6.116
R1Sun_T05,,,381,27,West Valley Wal-Mart,,,6.271
R1Sun_T05,,,382,28,West Valley Wal-Mart,,,6.577
R1Sun_T05,,,383,29,West Valley Wal-Mart,,,6.884
R1Sun_T05,,,385,30,West Valley Wal-Mart,,,7.2
R1Sun_T05,,,384,31,West Valley Wal-Mart,,,7.377
R1Sun_T05,,,58,32,West Valley Wal-Mart,,,7.609
R1Sun_T05,,,48,33,West Valley Wal-Mart,,,7.837
R1Sun_T05,,,49,34,West Valley Wal-Mart,,,8.084
R1Sun_T05,,,50,35,West Valley Wal-Mart,,,8.38
R1Sun_T05,,,2782,36,West Valley Wal-Mart,,,9.015
R1Sun_T05,,,2781,37,West Valley Wal-Mart,,,9.449
R1Sun_T05,,,2780,38,West Valley Wal-Mart,,,9.633
R1Sun_T05,,,2783,39,West Valley Wal-Mart,,,9.99
R1Sun_T05,,,2784,40,West Valley Wal-Mart,,,10.248
R1Sun_T05,,,2785,41,West Valley Wal-Mart,,,10.682
R1Sun_T05,,,2786,42,West Valley Wal-Mart,,,10.969
R1Sun_T05,,,2787,43,West Valley Wal-Mart,,,11.2
R1Sun_T05,,,2788,44,West Valley Wal-Mart,,,11.414
R1Sun_T05,09:05:00,09:05:00,2789,45,West Valley Wal-Mart,,,11.849
R1Sun_T05,,,2790,46,West Valley Wal-Mart,,,12.635
R1Sun_T05,,,2791,47,West Valley Wal-Mart,,,12.871
R1Sun_T05,,,2792,48,West Valley Wal-Mart,,,13.171
R1Sun_T05,09:09:00,09:09:00,80thTieton,49,West Valley Wal-Mart,,,14.103
R1Sun_T05,09:13:00,09:13:00,wvwm,50,West Valley Wal-Mart,,,16.667
R1Sun_T05,,,1017,51,Transit Center,,,17.331
R1Sun_T05,,,1018,52,Transit Center,,,17.592
R1Sun_T05,,,1115,53,Transit Center,,,18.096
R1Sun_T05,09:20:00,09:20:00,974,54,Transit Center,,,19.447
R1Sun_T05,,,1116,55,Transit Center,,,19.655
R1Sun_T05,,,507,56,Transit Center,,,19.976
R1Sun_T05,,,508,57,Transit Center,,,20.179
R1Sun_T05,,,509,58,Transit Center,,,20.358
R1Sun_T05,,,374,59,Transit Center,,,20.522
R1Sun_T05,,,510,60,Transit Center,,,20.89
R1Sun_T05,,,511,61,Transit Center,,,21.078
R1Sun_T05,,,512,62,Transit Center,,,21.354
R1Sun_T05,,,513,63,Transit Center,,,21.538
R1Sun_T05,,,514,64,Transit Center,,,21.716
R1Sun_T05,,,1117,65,Transit Center,,,21.883
R1Sun_T05,09:23:00,09:23:00,8_20,66,Transit Center,,,22.015
R1Sun_T05,,,515,67,Transit Center,,,22.235
R1Sun_T05,,,516,68,Transit Center,,,22.387
R1Sun_T05,,,1118,69,Transit Center,,,22.533
R1Sun_T05,,,517,70,Transit Center,,,22.67
R1Sun_T05,,,368,71,Transit Center,,,22.956
R1Sun_T05,,,369,72,Transit Center,,,23.085
R1Sun_T05,,,370,73,Transit Center,,,23.345
R1Sun_T05,,,371,74,Transit Center,,,23.538
R1Sun_T05,,,372,75,Transit Center,,,23.732
R1Sun_T05,,,373,76,Transit Center,,,23.886
R1Sun_T05,,,518,77,Transit Center,,,24.188
R1Sun_T05,,,1119,78,Transit Center,,,24.317
R1Sun_T05,09:26:00,09:26:00,8_21,79,Transit Center,,,24.528
R1Sun_T05,,,316,80,Transit Center,,,24.623
R1Sun_T05,,,530,81,Transit Center,,,24.934
R1Sun_T05,,,531,82,Transit Center,,,25.116
R1Sun_T05,,,519,83,Transit Center,,,25.294
R1Sun_T05,,,532,84,Transit Center,,,25.524
R1Sun_T05,,,520,85,Transit Center,,,25.656
R1Sun_T05,,,8_23,86,Transit Center,,,26.011
R1Sun_T05,,,521,87,Transit Center,,,26.492
R1Sun_T05,,,535,88,Transit Center,,,26.835
R1Sun_T05,,,536,89,Transit Center,,,27.209
R1Sun_T05,,,466,90,Transit Center,,,27.617
R1Sun_T05,09:30:00,09:30:00,TC,91,Transit Center,,,27.936
R1Sun_T06,09:45:00,09:45:00,TC,1,40th & Lincoln,,,0
R1Sun_T06,,,1025,2,40th & Lincoln,,,0.258
R1Sun_T06,,,1110,3,40th & Lincoln,,,0.485
R1Sun_T06,,,477,4,40th & Lincoln,,,0.803
R1Sun_T06,,,523,5,40th & Lincoln,,,1.087
R1Sun_T06,,,524,6,40th & Lincoln,,,1.195
R1Sun_T06,,,7_2,7,40th & Lincoln,,,1.443
R1Sun_T06,,,552,8,40th & Lincoln,,,2.093
R1Sun_T06,,,554,9,40th & Lincoln,,,2.212
R1Sun_T06,,,480,10,40th & Lincoln,,,2.323
R1Sun_T06,,,479,11,40th & Lincoln,,,2.511
R1Sun_T06,,,525,12,40th & Lincoln,,,2.808
R1Sun_T06,,,481,13,40th & Lincoln,,,3.099
R1Sun_T06,09:53:00,09:53:00,8_6,14,40th & Lincoln,,,3.321
R1Sun_T06,,,482,15,40th & Lincoln,,,3.539
R1Sun_T06,,,527,16,40th & Lincoln,,,3.714
R1Sun_T06,,,483,17,40th & Lincoln,,,3.925
R1Sun_T06,,,484,18,40th & Lincoln,,,4.127
R1Sun_T06,,,486,19,40th & Lincoln,,,4.531
R1Sun_T06,,,488,20,40th & Lincoln,,,4.714
R1Sun_T06,,,489,21,40th & Lincoln,,,4.937
R1Sun_T06,,,487,22,40th & Lincoln,,,5.115
R1Sun_T06,,,490,23,40th & Lincoln,,,5.324
R1Sun_T06,,,550,24,40th & Lincoln,,,5.577
R1Sun_T06,09:56:00,09:56:00,33,25,40th & Lincoln,,,5.729
R1Sun_T06,,,1_7,26,West Valley Wal-Mart,,,6.116
R1Sun_T06,,,381,27,West Valley Wal-Mart,,,6.271
R1Sun_T06,,,382,28,West Valley Wal-Mart,,,6.577
R1Sun_T06,,,383,29,West Valley Wal-Mart,,,6.884
R1Sun_T06,,,385,30,West Valley Wal-Mart,,,7.2
R1Sun_T06,,,384,31,West Valley Wal-Mart,,,7.377
R1Sun_T06,,,58,32,West Valley Wal-Mart,,,7.609
R1Sun_T06,,,48,33,West Valley Wal-Mart,,,7.837
R1Sun_T06,,,49,34,West Valley Wal-Mart,,,8.084
R1Sun_T06,,,50,35,West Valley Wal-Mart,,,8.38
R1Sun_T06,,,2782,36,West Valley Wal-Mart,,,9.015
R1Sun_T06,,,2781,37,West Valley Wal-Mart,,,9.449
R1Sun_T06,,,2780,38,West Valley Wal-Mart,,,9.633
R1Sun_T06,,,2783,39,West Valley Wal-Mart,,,9.99
R1Sun_T06,,,2784,40,West Valley Wal-Mart,,,10.248
R1Sun_T06,,,2785,41,West Valley Wal-Mart,,,10.682
R1Sun_T06,,,2786,42,West Valley Wal-Mart,,,10.969
R1Sun_T06,,,2787,43,West Valley Wal-Mart,,,11.2
R1Sun_T06,,,2788,44,West Valley Wal-Mart,,,11.414
R1Sun_T06,10:05:00,10:05:00,2789,45,West Valley Wal-Mart,,,11.849
R1Sun_T06,,,2790,46,West Valley Wal-Mart,,,12.635
R1Sun_T06,,,2791,47,West Valley Wal-Mart,,,12.871
R1Sun_T06,,,2792,48,West Valley Wal-Mart,,,13.171
R1Sun_T06,10:09:00,10:09:00,80thTieton,49,West Valley Wal-Mart,,,14.103
R1Sun_T06,10:13:00,10:13:00,wvwm,50,West Valley Wal-Mart,,,16.667
R1Sun_T06,,,1017,51,Transit Center,,,17.331
R1Sun_T06,,,1018,52,Transit Center,,,17.592
R1Sun_T06,,,1115,53,Transit Center,,,18.096
R1Sun_T06,10:20:00,10:20:00,974,54,Transit Center,,,19.447
R1Sun_T06,,,1116,55,Transit Center,,,19.655
R1Sun_T06,,,507,56,Transit Center,,,19.976
R1Sun_T06,,,508,57,Transit Center,,,20.179
R1Sun_T06,,,509,58,Transit Center,,,20.358
R1Sun_T06,,,374,59,Transit Center,,,20.522
R1Sun_T06,,,510,60,Transit Center,,,20.89
R1Sun_T06,,,511,61,Transit Center,,,21.078
R1Sun_T06,,,512,62,Transit Center,,,21.354
R1Sun_T06,,,513,63,Transit Center,,,21.538
R1Sun_T06,,,514,64,Transit Center,,,21.716
R1Sun_T06,,,1117,65,Transit Center,,,21.883
R1Sun_T06,10:23:00,10:23:00,8_20,66,Transit Center,,,22.015
R1Sun_T06,,,515,67,Transit Center,,,22.235
R1Sun_T06,,,516,68,Transit Center,,,22.387
R1Sun_T06,,,1118,69,Transit Center,,,22.533
R1Sun_T06,,,517,70,Transit Center,,,22.67
R1Sun_T06,,,368,71,Transit Center,,,22.956
R1Sun_T06,,,369,72,Transit Center,,,23.085
R1Sun_T06,,,370,73,Transit Center,,,23.345
R1Sun_T06,,,371,74,Transit Center,,,23.538
