stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
1_11,,72nd Ave. / Tieton,,46.593057586,-120.605096261,,,,
1_16,,66th Ave. / Englewood,,46.607421009,-120.595276311,,,,
1_19,,40th Ave. / Lincoln,,46.603472453,-120.560894898,,,,
1_21,,Lincoln / 16th Ave.,,46.603338047,-120.531246524,,,,
1_23,,City Hall,,46.605230339,-120.504727872,,,,
1_5,,Summitview / 16th Ave.,,46.599847485,-120.5307287,,,,
1_7,,SUMMITVIEW / 40TH AVE,,46.59997183,-120.562486288,,,,
10_1,,S 1st St. / E Walnut St. Northbound,,46.600791521,-120.505223038,,,,
10_10,,Selah North Park Centre,,46.665148691,-120.519700637,,,,
10_12,,Fremont between 1st / 3rd Streets,,46.656041963,-120.531538452,,,,
10_15,,Selah Civic Center,,46.651114799,-120.530567664,,,,
10_3,,Yakima No. 1st St. / 'I' Street,,46.614729333,-120.511793153,,,,
10_6,,Selah 1st Street Goodwill,,46.647187621,-120.530243207,,,,
10_7,,FREMONT / SPEYERS,,46.656320949,-120.534879718,,,,
10_8,,Selah City Hall,,46.655426935,-120.533139013,,,,
2_11,,72ND / TIETON,,46.592444846,-120.604437749,,,,
2_15,,64TH / WASHINGTON,,46.571488534,-120.593716814,,,,
2_19,,NOB HILL / 40TH AV,,46.585333854,-120.56218482,,,,
2_21,,NOB HILL / 16TH AV,,46.585151174,-120.529893136,,,,
2_22,,Nob Hill / 3rd Ave.,,46.585205098,-120.508854902,,,,
2_23,,Nob Hill / 6th St.,,46.585685042,-120.494351365,,,,
2_4,,Yakima Regional Hospital,,46.595014108,-120.522954522,,,,
2_9,,Tieton / 40th Ave.,,46.592786509,-120.562511913,,,,
3_10,,16TH AVE / SUMMITVIEW,,46.600171182,-120.530268153,,,,
3_12,,J / 16TH (D.S.H.S.),,46.61530574,-120.531664859,,,,
3_13,,FRUITVALE / RIVER,,46.618608768,-120.554460869,,,,
3_16,,FAIRBANKS / 34TH,,46.607815639,-120.554544403,,,,
3_18,,Public Works,,46.613970045,-120.53741632,,,,
3_22,,5th Ave. / Lincoln,,46.60331307,-120.51733077,,,,
3_4,,3RD AVE / DIVISION,,46.592257142,-120.509557242,,,,
3_6,,MEAD / 3RD AVE,,46.578064162,-120.510084149,,,,
3_8,,16th Ave. / Nob Hill,,46.585712386,-120.530271716,,,,
4_12,,FRUITVALE / 40TH AVE,,46.620698147,-120.56038844,,,,
4_16,,J / 16TH (D.S.H.S.),,46.615185355,-120.531497119,,,,
4_2,,5th Ave. / Lincoln,,46.603119666,-120.51701625,,,,
